Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 21:55:14,1330268561340850178,False,"Of The 'Many Faces' to Represent Congress-Left Alliance in Bengal, Adhir Ranjan Chowdhury's Could be a Deal-breaker https://t.co/DBTEZnJFOq congy,left bengal---",seshutatikola,hyderabad,Twitter Web App,0,31,46,0
2020-11-21 20:19:25,1330244445309186048,False,"@ReallySwara We don't have proof of it but  Muslims of United provinces , Bihar, Bengal, Bombay voted 4 Muslim league as late as 1946
 &amp; Jinnah was in Congress party before joining Muslim league...",Golushu53906946,,Twitter Web App,4,49,858,0
2020-11-21 20:01:36,1330239963737231366,False,"@manickamtagore Congress Calling Trinamool Congress Is B Team Of BJP And Even Left Which Was Your Alliance Partner Now In Bengal

Just See The Date Sir

BJP Didn't Not Get Deposits In 2011🤣🤣

But Ur Leaders Called B Team Of BJP https://t.co/Xz2TkY9aAo",KumarReddy272,India,Twitter for Android,1,21,133,0
2020-11-21 19:51:32,1330237431401082885,False,"While Sonia ghandi and @RahulGandhi is holidaying, @AmitShah visits state of Tamil nadu right after his visit in Bengal.. BJP President @OfficeofJPNadda is planning a 100 day program aiming at 2024 Parliament election.. But still congress and liberals blame EVM and other...",Saivinayak123,"calicut,kerala,India",Twitter for Android,0,16,136,0
2020-11-21 19:19:22,1330229333860954119,False,"Jo vote dene wala bhi hoga ADHIR CHOWDHARY ko dekh kar wo bhi nahi dega ....😜 
The problem with Congress High Command , they think Adhir is a big leader in Bengal ; while Cong workers in the state are told adhir is a big leader in Delhi  😜 https://t.co/TuNgLuWKeS",JharkhandVikas,Ranchi l New Delhi l Kolkata,Twitter for iPhone,0,901,234,0
2020-11-21 19:17:24,1330228837662199808,False,"#adhirranjanchoudhary deserves to lead the #congress in #bengal and must be the party's face as the chief ministerial candidate.
@INCTharoorian @INCIndia @RahulGandhi",drnitinchaube,"Singrauli, MP, India",Twitter Web App,1,488,370,0
2020-11-21 19:15:00,1330228234571669510,True,"West Bengal Congress leaders have expressed their desire to project Adhir Ranjan Chowdhury as the face of the party's alliance with the CPI(M) in the upcoming state assembly elections. 

https://t.co/SgsicXQ4F3",CNNnews18,India,TweetDeck,31,4544985,415,0
2020-11-21 19:00:36,1330224609824821248,False,@amitmalviya @beingarun28 Dynast is tired he has worked so hard for congress let him rest he has lots of work to do in Bengal for BJP,Catchdvt1,India,Twitter for iPhone,0,194,316,0
2020-11-21 18:46:51,1330221152606806018,False,"While opposition trying to find weak holds of BJP to defeat in 2024, BJP creating more strong holds in states where they are no where in picture, First Assam, Bengal &amp; now Tamilnadu.

Meanwhile congress sleeps &amp; leaders vacationing 👍👏 https://t.co/Ql3LsDXSTE",Gss_Views,,Twitter for iPhone,7,2690,846,4
2020-11-21 18:27:31,1330216287612645377,False,"@KanchenjungaEve @Ramanan_V Congress and BJP have collaborated in the past, albeit not at the national level. Manipur, Jharkhand, Telangana, countless times in West Bengal...",indian_ideology,Indian Union and Singapore,Twitter Web App,1,175,246,0
2020-11-21 18:24:42,1330215578234216449,False,"At least five Trinamool Congress MPs in West Bengal including Saugata Roy and Suvendu Adhikari may resign from Mamata Banerjee led Trinamool Congress party any moment, Bharatiya Janata Party MP Arjun Singh said today.",DeshGujarat,"Gujarat, India",TweetDeck,50,437698,191,6
2020-11-21 18:09:58,1330211867839655936,False,"Lack of problems in leadership,
West Bengal Pradesh Congress
Help the grass roots workers to strengthen the ✋ of congress.... Regards .. Ashif Kalim montu",AshifMontu,,Twitter Web App,3,7,11,0
2020-11-21 18:06:42,1330211049224761345,False,@Maximalt88 Should contest together. Bengal seems to reward Congress more seats in alliance than the left.,PIdeas2019,,Twitter for Android,3,31,65,0
2020-11-21 18:05:00,1330210621632212993,False,"@MrBatty_ Most of #Bhakts r angry to be born In India , They want to born in #HinduPakistsn type Bharat. Trying 4that but still too many obstacles like West Bengal, Kerala and much maligned Congress.",shamunder31s,"Ratnagiri, India",Twitter for Android,0,123,74,0
2020-11-21 17:53:32,1330207733870637069,False,@TimesNow @RahulGandhi @JPNadda @madan8538 I congratulate  Mr Nadda ji 4 his cristal clear stand on Political understanding &amp;approach with regards to NDA &amp; it's development plans for Nation &amp;West Bengal as well . Congress is more or less spent force by its on corruption &amp;lack of ldr ship.,madan8538,,Twitter for Android,1,31,53,0
2020-11-21 17:31:52,1330202282986795011,False,@arvindgunasekar you are absolutely right. This is how they removed CPM and Congress in west bengal. BJP's target for 2021 is to be the opposition or the 2nd biggest party. of course 2026 will be interesting @savukku,ChittuKuruvi10,,Twitter Web App,0,2,96,0
2020-11-21 17:21:33,1330199683273269248,False,"@TheCitizen_in #SayeedNaqbi We know without cow🐄 vigilantes Congress &amp; BJP are two sides of the same coin.But Owaisi is damaging Indian Muslims,working for RSS it's plain truth.India is collapsing before our eyes.However with EVM BJP will capture Bengal Assam,Owaisi or no Owaisi https://t.co/XJeH4CvaWk",Sandeep71121431,"Kolkata, India",Twitter for Android,0,527,221,0
2020-11-21 17:11:59,1330197277907034114,False,"@Suhelseth @AmitShah We have been seeing BJP in bengal since last 2 years actively at ground level but no news of congress 
But if BJP wins they will blame BJP for EVM tampering",Bhardwaj7o,,Twitter for Android,0,3,64,0
2020-11-21 16:59:49,1330194216039948289,False,"@rohini_sgh Jp nadda is touring states, today in home state himachal.

In bengal regularly in touch with everyone , meet workers.

Bjp start planning for next election even before last vote is cast in previous one.

That's the commitment. Congress top brass is too lazy to fight this.",LALITSHARMAHP,मृत्युलोक,Twitter Web App,0,291,51,0
2020-11-21 16:27:17,1330186026384580611,False,"Congress,AAP, SP, BMP, Azad Samaj Party, CPI,CPM, CPIML, TMC, TRS,DMK, AIDMK, NCP, Shiv Sena, RJD,BJD, NC, AKALI DAL &amp; other small parties must start movement right now against EVM else elections of Bengal, Asam,Tamilnadu, UP which are due in21,22,23, 24 etc will be won by BJP.",rajbodhkaul,Delhi,Twitter for Android,0,1097,1276,0
2020-11-21 16:24:03,1330185214551859201,False,Adhir Ranjay Chowdhury will not be CM face of CPM-Congress alliance of West Bengal - https://t.co/b3mvwrSQwp,SaraBangla,"Washington, DC",Sarabangla,1,1591,57,0
2020-11-21 16:07:53,1330181145577844739,False,"@rkhuria2 Yes. Congress should become active now. May be, they should convince Trinamul to go for a seat sharing discussion, a need of the scenario prevalent in West Bengal. It is difficult for both Congress &amp; TMC, but I think BJP’s massive efforts for the last 4 yrs need to be stymied",asqdri,,Twitter for iPhone,3,325,450,0
2020-11-21 14:52:34,1330162190649856009,False,"Kapil Sibal also knows, Congress is also losing West Bengal, watch dalla @sardesairajdeep Interview 😂 https://t.co/mMjRJBxFeA",shekharmcs, India,Twitter for Android,25,8327,7275,11
2020-11-21 14:51:34,1330161941222920195,False,"By your definition, Hitler should be Indira Gandhi. Only change is RSS BJP raised as a counter defensive force against the Nazism run country as UK-ISI/Vatican  government by congress fighting the genocide of innocent Hindus during partition cow slaughter agitation and Bengal . https://t.co/wVDe4MXrOd",buvii,"Down the sky, Over the Earth",Twitter for iPhone,1,388,685,0
