Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 23:56:19,1330299033336864771,False,"#INC+RG do not know ppl luv BJP 
#Demo+GDP+unemp
CAA+NRC
Delhi riots+Goli maro+Trump 
Covid +migrants
Tablighis+SSR +Media
LAC+No China+Galwan 
Luv Jihad+CM Yogi ji
Protesting Farmers  
False OROP+ Pulwama 
Rafels +CBI+ED+Journos 
EC+EVM
Hate Nehru + Dynasty
PROOF : ELECTIONS .",MadanKandal3,"Shamla Hills, Bhopal",Twitter for Android,0,103,326,1
2020-11-21 23:32:49,1330293118449627142,False,"@UNTGAPS @varunsankineni @vivekvenkatswam @team_sai @ambati_tarun @Sagar4BJP @ThoutiAshish @GayathriBandar7 @hyndavi4nation @SrimanGuda @reddieeAnil @MS4BJP @BJP4indo @SureshVandanapu @mkkumar_BJP @kiran_jupally @krporeddy @RahulManchikant @VGinnarapu @Offline22062299 @BJP4Delhi @BJP4India @BJP4Telangana @aimim_national @KTRTRS @TelanganaCMO @RaoKavitha @trsharish IIT graduate is CM of Delhi right...
Ask him to write to CBI&amp;supreme court  to investigate MCD funds and audit them..
CBI need state authorization to investigate.
On same grounds ask KCR to write to investigate state finances and all state spending.
That’s all,it’s easy",praveesh123,"Hnk, Warangal,Telangana, INDIA",Twitter Web App,2,58,2,0
2020-11-21 23:06:16,1330286436139069442,False,"@praveesh123 @varunsankineni @vivekvenkatswam @team_sai @ambati_tarun @Sagar4BJP @ThoutiAshish @GayathriBandar7 @hyndavi4nation @SrimanGuda @reddieeAnil @MS4BJP @BJP4indo @SureshVandanapu @mkkumar_BJP @kiran_jupally @krporeddy @RahulManchikant @VGinnarapu @Offline22062299 https://t.co/lBT15A80vZ

#BJP are making huge corruption in #Delhi #MCD? 

@BJP4Delhi @BJP4India @BJP4Telangana, Do you have answers?

#GHMCElections2020 #GHMC #AIMIM @aimim_national
#Hyderabad #Secunderabad #Telangana #AndhraPradesh 
@KTRTRS @TelanganaCMO @RaoKavitha @trsharish https://t.co/8N0yKq6uMZ",UNTGAPS,Peaceful!,Twitter for Android,0,138,240,1
2020-11-21 22:07:38,1330271680636329987,False,@TimesNow @Dev_Fadnavis After that we will declassify @SAfridiOfficial real age. #shahidafridi #Karachi #AkhandBharat #कमल_खिलेगा_बंगाल_में #BJP #COVID19 #Delhi #FridayMotivation @narendramodi @ARanganathan72 @narendramodi177 @MyPrespective_ @AdityaRajKaul @aajtak @DrAmbardar @majorgauravarya @AskAnshul,BhartiSahyog,"Mumbai, India",Twitter for iPhone,1,115,841,1
2020-11-21 19:44:01,1330235539337981955,False,@Seems3r AAP supporters IQ and BJP Delhi leaders effort on public problem are at same level. Both help sirji to stay in power without doing anything.,abhinawp,India,Twitter for Android,0,2971,878,0
2020-11-21 19:24:52,1330230717087969281,False,Vardhan inaugurates blood donation camp held by Delhi BJP youth wing https://t.co/uVbo3WakvD,mpostdigital,"New Delhi, India",Hocalwire Social Share,0,839,117,0
2020-11-21 19:17:20,1330228823049310210,False,"@Cif_Official1 @jkenney @alberta @satishthakkar01 @RiteshMalik1911 @Osholover3 @vasesar @ajit5154 @HCI_Ottawa @Ajaybis @IndiainToronto Do you remember how your guide &amp; your mentor, the Union Minister for Finance encouraged the crowd to chant #HateSpeech against 18 % of Indian Population: 
‘Desh ke gaddaro ko, goli maaro saalo ko (shoot the traitors of the nation)  https://t.co/8lOJZJ95BN
https://t.co/v1mu7kKVJZ",SajidCKP,,Twitter for Android,1,873,2911,0
2020-11-21 19:16:08,1330228519029370882,False,"@ttindia RSS or BJP is no anti National Org , PFI is
Delhi Riots , Bangalore Riots , Hatras &amp; many such case of Religious Communal rights planned and executed by PFI ( Shaheen Baugh )",anilsathe,,Twitter Web App,0,43,409,0
2020-11-21 19:09:07,1330226754263322627,False,"@TheBombayBombil When did BJP said that AUT raped Disha? 😳

Delhi Riots: Riots sone by Muslim is false then who killed Hindus? What was Tahir Husain doing with Chemicals and guns? Planning to open a lab? 

CAA is Discriminatory towards Pakistani, Bangladeshi and Afghanistan’s Muslims not Indians",randomadmi,Yahi rehte hai din bhar ,Twitter for iPhone,1,434,1919,0
2020-11-21 19:06:34,1330226113071734789,False,"@DCPEastDelhi @ShilpiTiwari5 @wupadrastaAruna @apparrnnaa @D_Roopa_IPS @IPS_Association @CMofKarnataka @HMOIndia @PMOIndia @CPDelhi @DelhiPolice @DCPSEastDelhi @LtGovDelhi @AmitShahOffice @VijayVst0502 @chrungooaj @renu_bjp @nehaltyagi08 @KanoongoPriyank @lawinforce @HarshVardhanTri @myogiadityanath @CMOfficeUP Please tell citizens where to file complaint against those East Delhi police person who filed false pictures to report no Bangladeshi encroachment?

Also please advise what action is taken by police in that area to enforce public land is protected?",HaridasKukkur,Bharat in west. Paataal-desh.,Twitter for Android,5,344,143,3
