Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 22:34:11,1330278362485493761,False,"Pappu Rahul Gandhi and Mother Sonia Gandhi escaped to Goa citing that Delhi is unsafe for them leaving behind poor Congress cadres in unsafe Delhi itself.
 
That is their leadership quality.",robbervadra3,India,Twitter for Android,0,16,567,0
2020-11-21 20:16:15,1330243649146396676,False,"Rajneeti News (4 ‘dissenters’ on Cong panels, Sibal left out : The Tribune India)  

Aditi Tandon
Tribune News Service
New Delhi, November 20
Congress president Sonia Gandhi today constituted three internal advisory ... has been published on Rajneeti News - htt ... https://t.co/Zl5mH9hXvK",RajneetiNews,New Delhi,Rajneeti News,0,553,277,0
2020-11-21 19:55:36,1330238452521197570,False,"Rajneeti News (4 ‘dissenters’ on Cong panels, Sibal left out : The Tribune India)  

Aditi Tandon
Tribune News Service
New Delhi, November 20
Congress president Sonia Gandhi today constituted three internal advisory ... has been published on Rajneeti News - htt ... https://t.co/cUZmUTWOUA",RajneetiNews,New Delhi,Rajneeti News,0,553,277,0
2020-11-21 19:19:22,1330229333860954119,False,"Jo vote dene wala bhi hoga ADHIR CHOWDHARY ko dekh kar wo bhi nahi dega ....😜 
The problem with Congress High Command , they think Adhir is a big leader in Bengal ; while Cong workers in the state are told adhir is a big leader in Delhi  😜 https://t.co/TuNgLuWKeS",JharkhandVikas,Ranchi l New Delhi l Kolkata,Twitter for iPhone,0,901,234,0
2020-11-21 19:08:04,1330226489279848448,False,@anandPriyank11 @DjKaran @SaketGokhale @rohini_sgh Seriously? Rahul Gandhi doesn't even stay in the same house as his mother while in Delhi (mind you his Delhi house is next to the Congress office and RG was Congress president). You think he would primarily be attending to his mother right now? Doesn't even do it in Delhi!,VM13277460,,Twitter for Android,0,15,56,0
2020-11-21 18:56:49,1330223658711863299,False,@ANI In Delhi Congress was asking to reduce fines from 2000 to 100,bholabhandariji,"Darbhanga, India",Twitter for Android,0,139,1287,0
2020-11-21 18:35:05,1330218191654711297,False,"Hello @ArvindKejriwal (khujliwal) and @AamAadmiParty for your kind information there is no replacement for congress in India. AAP started in Delhi and will collapse in this term in Delhi also mark my word. 
https://t.co/kbACewPfe1",jhoncater123,India,Twitter for Android,27,612,1411,24
2020-11-21 18:23:48,1330215352119267332,False,@RoopsSaxena Congress president Sonia Gandhi on Friday afternoon moved to Goa following a medical advice to avoid smog and avoid air pollution in Delhi.,Sayeed92597071,,Twitter for Android,4,405,440,0
2020-11-21 17:48:25,1330206444680077322,False,"@AamAadmiParty But what is more important wifi or health of delhi people..why not ack gambhir efforts for betterment of delhi..you are also no different from sp,bsp, congress,bjp or ncp",no_panga1,,Twitter for Android,1,17,133,0
2020-11-21 17:45:52,1330205805426176002,False,"@DaaruBaazMehta @ArvindKejriwal Agree. Congress is no more opposition party and @aap can take their place.

For quick surge, do one thing. Identify all the illegal migrants in Delhi and ask @BJP4India to send them to detention center. And you cancel their all the govt aids. Your party will be in game. @INCIndia",nitin6ul,,Twitter for Android,1,27,1022,0
