Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 17:13:01,1330197537739993091,False,"Uttrakhand Election
BJP - 70(Total Seats) - 31(Won)
Congress - 70(Total Seats) - 32(Won)

Uttar Pradesh Election
BJP - 398(Total Seats) - 47(Won)
Congress - 355(Total Seats) - 28(Won)

Gujrat Election total Seats - 182
BJP - 115(Won)
Congress - 61(Won)",Harishc94614675,,Twitter Web App,0,1,63,0
2020-11-21 16:52:11,1330192296390881282,False,"@SaketGokhale @PriyankKharge Yes in 2014 when his was in-charge of UP , he got 73/80. In 2019 it was Bengal which made history. Maharashtra, Bihar, Karnataka, MP ,Haryana .. BJP managed to become  single largest party. Retained Gujrat. But for Saketji , our ULTRA youth leader should be the PM.",bhasad__,Mumbai,Twitter for Android,14,4,135,0
2020-11-21 16:48:25,1330191345596706818,False,@84nanikiran @varunsankineni @KTRTRS @BJP4Telangana @BJYM4Andhra @SanggitaT @Arvindharmapuri @bandisanjay_bjp @aruna_dk @KolliMadhaviBJP @Imsrikantreddy @PradeepraoBJP @Pranaykongara BJP ruled States Are Filthy ? 3 cities from Gujrat comes under comes under top ten Swacch City.,KirtanHora,India,Twitter for Android,0,75,319,0
2020-11-21 15:40:49,1330174333457666049,False,"@aajtak @journovidya BJP shall give real challenge as Bengal will open up by their rule in state like UP &amp; shall progress like Gujrat/UP state.This state can't run like old times of CPI as today, TMC is following same footstepsbof old times as going to damage themselves",VasudevSeth,,Twitter for Android,0,25,119,0
2020-11-21 15:40:36,1330174278688518147,False,"@aajtak @AkhileshPSingh @sambitswaraj @anjanaomkashyap BJP shall give real challenge as Bengal will open up by their rule in state like UP &amp; shall progress like Gujrat/UP state.This state can't run like old times of CPI as today, TMC is following same footstepsbof old times as going to damage themselves",VasudevSeth,,Twitter for Android,0,25,119,0
2020-11-21 15:40:14,1330174186552250370,False,"@aajtak BJP shall give real challenge as Bengal will open up by their rule in state like UP &amp; shall progress like Gujrat/UP state.This state can't run like old times of CPI as today, TMC is following same footstepsbof old times as going to damage themselves",VasudevSeth,,Twitter for Android,0,25,119,0
2020-11-21 15:39:35,1330174025465802758,False,"@narendramodi BJP shall give real challenge as Bengal will open up by their rule in state like UP &amp; shall progress like Gujrat/UP state.This state can't run like old times of CPI as today, TMC is following same footstepsbof old times as going to damage themselves",VasudevSeth,,Twitter for Android,0,25,119,0
2020-11-21 15:39:23,1330173975184494592,False,"@indiatvnews BJP shall give real challenge as Bengal will open up by their rule in state like UP &amp; shall progress like Gujrat/UP state.This state can't run like old times of CPI as today, TMC is following same footstepsbof old times as going to damage themselves",VasudevSeth,,Twitter for Android,0,25,119,0
2020-11-21 15:38:59,1330173874470866951,False,"@aajtak @PoulomiMSaha BJP shall give real challenge as Bengal will open up by their rule in state like UP &amp; shall progress like Gujrat/UP state.This state can't run like old times of CPI as today, TMC is following same footstepsbof old times as going to damage themselves",VasudevSeth,,Twitter for Android,0,25,119,0
2020-11-21 15:37:37,1330173531477434370,False,"@aajtak @chitraaum BJP shall give real challenge as Bengal will open up by their rule in state like UP &amp; shall progress like Gujrat/UP state.This state can't run like old times of CPI as today, TMC is following same footstepsbof old times as going to damage themselves",VasudevSeth,,Twitter for Android,0,25,119,0
