Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 20:08:47,1330241771146797064,False,@Shivaaye1990 @DrAbuAfzal1 @FaheemYounus Don’t ask me on religion things. I lived in Gujarat in 2002 and had many friends and family members living in Muslims dominated areas so I know what’s ground reality and what was presented by congress,vishalUthakkar,"Atlanta, GA",Twitter for iPhone,0,300,1592,0
2020-11-21 19:58:19,1330239136016568322,False,"@INCIndia Vaise kuch salo phele Gujarat me aake Dancer mummy ne 2 3 rs kg pe Dal Chaval aur Gehu dene ki Backwash ki thi lakin 2000 se Gujarati yo ne Congress ko Bola huwa he "" Nikal Chor party Pheli Fursat me Nikal "" 😂..... Afterall Nobody want Chinese Italian joint venture party 😂",kmd05007,,Twitter for Android,0,9,170,0
2020-11-21 15:28:58,1330171350951014403,False,"India demands probe into the Congress nexus with Maoists and terrorists on Mumbai 26/11 connected to 09/11 attacks in America. The 'Mystery'  @narendramodi as Gujarat CM in between with 'Godhra' campaign across America, Europe and Middle East. @SCofIndia @HMOIndia https://t.co/CHBRjMLVp1",jyothijonnala28,"Ahmedabad, Gujarat  India",Twitter Web App,0,20,261,0
2020-11-21 15:25:48,1330170557539774467,False,"@YRDeshmukh Congrats for exact predicting Bihar, Gujarat, Karnatka exit poll. 
All were going to Congress according to Lutyens",uddayshya,DELHI,Twitter Web App,0,50,838,0
2020-11-21 13:42:52,1330144651693723649,False,"@subhra2jyoti @reshma_alam9 See. In Gujarat, we don't have any choice. Congress does not have any ground leaders. And BJP has just made a Larger than life image of Modi. Most of the votes are for Modi.

If BJP was really pro-development, why couldn't they do the same in MP? In Rajasthan? Chattisgarh?",nisargdhamecha7,"राजकोट, भारत",Twitter for Android,0,546,1856,0
2020-11-21 13:41:21,1330144268179173377,False,"@BASU070862 @INCIndia @RahulGandhi That's the relationship between Congress, people and this great country sir..we will bounce back soon sir
https://t.co/Y7g9ufjdRU",DrJayanThiyagu,Srirangam,Twitter Web App,0,2886,2358,0
2020-11-21 13:36:32,1330143056889327620,False,"@Gss_Views Congress feels it is people's default option for anti bjp votes in states like punjab, haryana, rajasthan,MP, Gujarat etc. Till this does not change, congress will not change.",Hope58975223,,Twitter Web App,3,225,298,0
2020-11-21 12:12:34,1330121925427916801,False,@chinmoyee5 @iamnandini13 I am bengali i live in Gujarat i have always voted for bjp and will continue we will make sure pappus congress are outside the door we will make sure congress supporters suffer from mental agony hypertension 🤣,Sanjeev26109683,,Twitter for Android,3,20,470,0
2020-11-21 12:03:29,1330119640513699847,False,"Gujarat 2017 was supposedly close election - BJP won 99 while Congress 77.

There were 40 seats that BJP won by over 20% voteshare while there were only 6 where Congress won by over 20%. This happened after 20 yrs of anti-incumbency.",moderateright,Saudi Arabia,Twitter Web App,1,3180,305,0
2020-11-21 11:42:19,1330114316134207488,False,"@EnlightenTelan1 @Arvindharmapuri Joker Of Country😂😂

*Last Congress Govts in*

Tamil Nadu - 1967 (53yrs)
West Bengal - 1977 (43yrs)
Sikkim - 1984 (36yrs)
Uttar Pradesh - 1989 (31yrs)
Bihar - 1990 (30yrs)
Tripura - 1993 (27yrs)
Gujarat - 1995 (25yrs)
Orissa - 2000 (20yrs)
This demon dying its own death.",Arun87333605,,Twitter for iPhone,11,57,1116,1
2020-11-21 11:23:56,1330109688466321408,False,"Congress did win riding on anti-incumbency in Chattisgarh, Rajasthan, MP, Jharkhand, came close in Haryana, Goa, Gujarat and Bihar (with RJD). 

But given their footprint is vastly reduced, mere anti-incumbency won't take them much further.",moderateright,Saudi Arabia,Twitter Web App,2,3180,305,0
2020-11-21 11:01:41,1330104089640906756,False,"@RahulGandhi 
Suggestion on Gujarat :
You have observed the debacle of Congress in recent Election. To remove BJP-NAMO you have to start satyagrah from Gujarat only like Gandhiji.
Remove you old stalwarts and appoint new good faces. Else people think that Congress is no option.",ajaykhanderia,"Ahmadabad City, India",Twitter Web App,0,53,358,0
2020-11-21 11:00:45,1330103854017486854,False,"India Today: Kapil Sibal:
In UP bypolls,one candidate got around 1% votes, 
another 1.39% 
while another got around 2%
In Gujarat all 8 candidates defected from Congress to BJP and got 65%votes",Savitritvs,,Twitter for Android,17,3976,699,3
2020-11-21 10:46:16,1330100208336838656,False,@vicharadheen @arifuddinit @SubuhiKhan01 They call themselves 'Minority' and keep attacking Hindus. Gujarat riots wouldn't have happened if Godhra hadn't happened. Congress &amp; jihadis always bring up Gujarat riots but are totally silent on Godhra.,hemantxjha,,Twitter for iPhone,0,400,40,0
2020-11-21 10:23:08,1330094386584178690,False,Look at his performance as gujarat in charge of Congress sir he was a disaster https://t.co/FshCjQF7NF,ma14186314,"Kozhikode, India",Twitter Web App,0,445,1644,0
2020-11-21 09:54:26,1330087163053166595,False,@rohini_sgh It's Left&amp; @INCIndia that widened MGB base. Propaganda machine could have kept him BOXED at less than 30% (M-Y) votes. NDA's vote share fell from 53.5% in 2019 to 38% in 2020. Near 16% swing away is not a mean feat. NDA's Owaisi card gave them a narrow win https://t.co/gdFR1Gsxyl,cherukoth,Shuttling around-mainly S Indi,Twitter Web App,1,33,99,1
2020-11-21 09:40:30,1330083657831297024,False,@vijayrupanibjp @CMOGuj It's going to be 20 years since BJP came to power in Gujarat. Congress is decimated and there is no other regional party. What and who is stopping you from changing the name of Ahmedabad to Karnavati? https://t.co/qW8B1nMjyF,UnapologeticHi4,"Naiper, New Zealand",Twitter Web App,1,1095,2884,0
2020-11-21 08:36:15,1330067488135143426,False,"@handinsidepant The statement is stupid no doubt...but Its  not a gobarmint statement...

In case of Congress, they wud hve acceded land of Jamnagar (Gujarat) if Porki would have claimed it with help from Cheena...",uunionminister,Raisina Hills,Twitter for Android,2,313,990,0
2020-11-21 08:34:27,1330067036295323649,False,"@rohini_sgh Congress had signals right from Gujarat elections, almost all the state elections results have been similar ever since, but they don't wanna learn. Nobody can help.",girishmiglani,New Delhi,Twitter for Android,0,175,62,0
2020-11-21 08:15:13,1330062197733675010,False,"@AnoopChathoth @sardesairajdeep @KapilSibal @IndiaToday BJP has ruled Gujarat and MP for &gt; 20 years in a row, many other states also &gt;10 years, in the Centre about 7 years. But some dimwits are still trying to explain why Congress needs to be blamed for Sanghi incompetence 😎",b_abhijit,,Twitter for iPhone,1,923,241,1
2020-11-21 08:03:16,1330059186504413186,False,Having said that Punjab has Congress government...Manmohan singh ji was best PM in after 2000 along with vajpayee ji..and Gujarat was burnt in early 2000..so crimes are crimes...nothing else. https://t.co/irpcfBFRRp,vishalmali79,India,Twitter for Android,2,923,3240,1
