Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 23:57:50,1330299411323346954,False,Want LAHDC-Kargil to complete its full term: BJP MP on support to NC - https://t.co/JkV6jIOHsD,State_Times,Jammu | Kashmir | Delhi,StateTimestw,0,2079,0,0
2020-11-21 23:56:32,1330299085367222274,False,"BJP Lacks Faith in Its Leaders of West Bengal, Importing Outsiders Ahead of Assembly Polls: TMC MP - SkyNews18 https://t.co/KZslG1H2Z5 #Younews #Trending",younews_in,India,dlvr.it,0,868,4,0
2020-11-21 23:44:34,1330296072636403717,False,"BJP Lacks Faith in Its Leaders of West Bengal, Importing Outsiders Ahead of Assembly Polls: TMC MP https://t.co/uqXcROac8y",Userskynews18,Mumbai,WordPress.com,0,12,50,0
2020-11-21 23:07:41,1330286794118737923,False,Bodoland People’s Front’s Lone MP Resigns from Rajya Sabha; Will Join BJP Tomorrow https://t.co/scebfmunsr,Userskynews18,Mumbai,WordPress.com,0,12,50,0
2020-11-21 23:07:26,1330286731535519746,False,"@banojyotsna Absolutely! More voices should rise like this. Curbing personal liberties thru invented political tools of hatred is dangerous. 

BTW, are the lawmakers of MP ready for their DNA profiling? Almost all will have ancestors from all religions! How many BJP MLAs are ready to do?",The_Indian_1950,India,Twitter Web App,0,17,290,0
2020-11-21 22:18:06,1330274315812605953,False,"Will By no means Be part of BJP, Says Trinamool MP Saugata Roy https://t.co/InOJw1TawD",todaymynews1,Gandhinagar,WordPress.com,0,327,2209,0
2020-11-21 21:52:03,1330267758710444038,False,"Will Never Join BJP, Says Trinamool MP Saugata Roy https://t.co/bZ1IYWAoSa",News_Headlines_,"New Delhi, India",WordPress.com,0,209,238,0
2020-11-21 21:45:03,1330265997782241285,True,"Will Never Join BJP, Says Trinamool MP Saugata Roy https://t.co/8l7PHXAkRR https://t.co/aCRm8ja2ej",ndtvfeed,,NDTVfeed,3,244942,23,0
2020-11-21 21:12:57,1330257917589721094,False,"@srikanthankem1 @bandisanjay_bjp If someone forged his sign, oka mp ga  he should lodge complain an probe CBI in to it, why he is not doing, ayethe vadi sign aye undali, lekunte, careless ga evarina forgery chesukovachhi ani anukovali",RAJESHRAOJ,hydrabad,Twitter for Android,0,9,16,0
2020-11-21 20:38:13,1330249179290083329,False,"5 TMC MPs could resign any moment, says BJP MP Arjun Singh in poll-bound Bengal https://t.co/NS5QpbzolT",shopsuggest,"Hyderabad, India",IFTTT,0,436,2449,0
2020-11-21 20:33:32,1330248000258629640,False,"@Arun2981 @itnalogicc Still , BJP poora jor lagayegi. Jitne workers hain , MP's accross the country , sabhi utar denge maidan me.",iamjatinbajaj,,Twitter for Android,0,69,263,0
2020-11-21 20:20:58,1330244837111705600,False,"@sandyyyy1989 @swatson2018 21 % vote (without party ) as per all media poll reports .
bjp not even 2% 
pls tell me how many mp seat mla seat did bjp won in 
tamil nadu (alone ) in the past ??

the reality is without alliance bjp cant stand alone in tn .",KABiLANS7,russia,Twitter Web App,1,1667,1496,0
2020-11-21 20:20:34,1330244735387185155,False,"@sgurumurthy MP saugoto ray told the press, that he will die before join with BJP.",yooelre,India🇮🇳,Twitter for Android,0,275,911,0
2020-11-21 20:16:33,1330243726766198784,False,@swatson2018 @KABiLANS7 Who said I'm patting 4 rajini bjp alliance?Atleast bjp has party registered&amp;had MP MLAs before.Pls list road map of Rajini party. Is party registered? Only 4 months left in hand.With 10 to15% vote share. Do u think u can capture power.Come to reality.I feel u ppl r overconfident,sandyyyy1989,"Québec, Canada",Twitter for Android,0,219,1133,0
2020-11-21 20:01:02,1330239821915299851,False,"@sardesairajdeep @KapilSibal @IndiaToday He gave Some very stupid answers 😒😒... one was to compare Macron with modi, trump, Erdogan, bolsonaro ..other was to suggest modi bjp is winning  just  because  of media, money power ..then how did kejriwal win, and cong win state elections like Punjab,  chattisgarh,  mp etc.",Vijay34077342,,Twitter for Android,0,7,336,0
2020-11-21 20:00:47,1330239758879117319,False,"One genuine query bro @sandyyyy1989

How come Rajini -BJP alliance can win with complete negative wave against BJP? 

Do they have atleast 4% votes? 
Do they have booth committee members for  atleast 20000 booths? 
Do they have atleast one MLA or MP? https://t.co/tRypnHUkxO",swatson2018,"Madurai South, India",Twitter for Android,28,5913,3241,8
2020-11-21 19:55:57,1330238539238416385,False,"@sardesairajdeep @KapilSibal @IndiaToday I agree with you. Congress is a very tiny party in front of BJP now. BJP’s fight shall only be with regional parties and congress shall fight as a regional party in Punjab, Rajasthan, MP, Chhattisgarh, Haryana, HP, Uttarakhand and Karnataka. Great going for BJP.",vertigobp,India,Twitter for iPhone,1,26,503,0
2020-11-21 19:53:31,1330237930716147718,False,"#SushantSinghRajput only small fishes will b named but biggest fish #BabyPenguin will b spared as #BJP blackmailed by #papapenguin to open #Scams file  of Bjp . #biggboss of drugs will b spared as he know #kiteflying. #CBI finished enquiry , just working on narrativ 2 fool #India",sumit__MP,,Twitter Web App,0,2,4,0
2020-11-21 19:42:03,1330235042400964611,False,"Will never join BJP, says TMC MP Sougata Roy https://t.co/O7sps4j1XQ",DisneyTomTOI,"Cochin, India",dlvr.it,0,174,151,0
2020-11-21 19:41:13,1330234835416309766,True,Big shot TMC leader Saugata Roy to resign with 5 MPs: BJP MP Arjun Singh's huge revelation https://t.co/ldmSFQhcUU,msnindia,India,OxfordBlue-Twitter,1,29112,46,0
2020-11-21 19:39:21,1330234362672128001,False,"AIIMS Accepts Mistake, Admits NEET Rank Holder. But What About The Others? https://t.co/71oTMY0hiK",monikaaabhasin,"Kathua, Jammu And Kashmir",Twitter for Android,0,13,325,0
2020-11-21 19:33:39,1330232928778006530,False,@UmeshJadhav_BJP @RTelkur @BSYBJP @CMofKarnataka @BJP4Karnataka When the Koli Community will get ST status. As you have promised during your MP and Chncholi by-election.,hrchannakki,"Sedam, India",Twitter for Android,0,23,120,0
2020-11-21 19:25:39,1330230914941657096,False,BJP MP silenced by journalist our Love Jihaad https://t.co/So8GDw400R,glblink,"London, England",Instagram,0,5442,34,0
2020-11-21 19:23:24,1330230350337990660,False,BJP MP Arjun Singh accuses Jt Commissioner of trying to assasinate him #कमल_खिलेगा_बंगाल_में https://t.co/zIGCkplA1n,WakeUpHindu,India,Twitter for Android,3,2780,2375,1
2020-11-21 19:05:50,1330225928048349192,False,"Want LAHDC-Kargil to complete its full term, Says BJP MP from Ladakh on support to NC https://t.co/ifZeBZhALZ",KashmirHorizon,Srinagar,WordPress.com,0,3892,253,0
