Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 23:17:33,1330289277079580672,False,"#BREAKING 

Protesters burn part of #Guatemala's Congress building

 https://t.co/VQgVmwr11f

Not gold or diamond

@vonderleyen @eucopresident @BernieSanders @JoeBiden @AOC @mehdirhasan @PeterDutton_MP @RTErdogan @ImranKhanPTI @jaketapper @jacindaardern",muhitreza,World,Twitter for Android,0,639,4997,0
2020-11-21 20:51:49,1330252601947021313,False,"@KumarK31857624 Commonwealth Games scam was exposed in 2010 and in 2010 whose government was there?
UPA 2 government was there.
Congress MP Suresh Kalmadi was Jailed when congress was in power.
/3",ChinmaySoman4,,Twitter for Android,0,9,22,0
2020-11-21 20:26:32,1330246239095574530,False,"Who is the Leader of Congress?
Is it a cow shed to incubate MP &amp; MLA's? 
@RahulGandhi @pbhushan1 @ShashiTharoor @INCIndia 
Pathetic",mv_john4,Kuwait - Mavelikara ,Twitter for Android,10,2455,2801,1
2020-11-21 20:03:52,1330240535026667526,False,@GurrehmatO @KaushikAnubhav2 @kannadaveera @TheSquind 1984 riots m 'sajjan kumar' culprit tha.. Phir bhi 2004 m woh Congress ke ticket par MP bna.. Any comments on it..,Venom2064114548,Haramkhor nagar,Twitter Web App,0,35,170,0
2020-11-21 19:55:57,1330238539238416385,False,"@sardesairajdeep @KapilSibal @IndiaToday I agree with you. Congress is a very tiny party in front of BJP now. BJP’s fight shall only be with regional parties and congress shall fight as a regional party in Punjab, Rajasthan, MP, Chhattisgarh, Haryana, HP, Uttarakhand and Karnataka. Great going for BJP.",vertigobp,India,Twitter for iPhone,1,26,503,0
2020-11-21 19:37:08,1330233806805229568,False,"@aajtak @rohini_sgh @sardesairajdeep Sibbal Ji, Dont give data of UP, Could you please look the MP's vote%... We were almost 40+% on all 28 Seats

Please try to defend INC as much, You have got so much from Congress and will get in future too.
Humble Request Sir, Please strengthen the Party🙏🙏",Imran95758187,,Twitter Web App,0,67,186,0
2020-11-21 18:36:01,1330218424887369731,False,"@sgurumurthy No need to join BJP. Look to Congress, Did any potential, media savvy and sitting Congress MP joined BJP? 😂",sangramstarts,"Bengaluru, India",Twitter for Android,0,285,605,0
2020-11-21 18:24:42,1330215578234216449,False,"At least five Trinamool Congress MPs in West Bengal including Saugata Roy and Suvendu Adhikari may resign from Mamata Banerjee led Trinamool Congress party any moment, Bharatiya Janata Party MP Arjun Singh said today.",DeshGujarat,"Gujarat, India",TweetDeck,50,437714,191,6
2020-11-21 18:08:13,1330211431191547908,False,"@KonathamDileep @KTRoffice @KTRTRS sir small suggestions for GHMC elections 
1. kindly allot 5 corporators to each Minister's and MP's 
2. Allot 1 MLA and MP for each Corporator   
3. Their was undercurrent for Congress in Muslims 
    dominated areas (apprx. 56 Corporators)",BollapalliSunil,hyderabad,Twitter Web App,0,1,41,0
2020-11-21 18:06:56,1330211107915653130,False,"@trspartyonline @KTRTRS sir small suggestions for GHMC elections 
1. kindly allot 5 corporators to each Minister's and MP's 
2. Allot 1 MLA and MP for each Corporator   
3. Their was undercurrent for Congress in Muslims 
    dominated areas (apprx.56 Corporators),we should  
    promote our achievements",BollapalliSunil,hyderabad,Twitter Web App,0,1,41,0
