Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 23:23:10,1330290688978718730,False,"@ArmoredWarlord @Croatsky Yeah but that's still too steep for the SP IMO.

Like I literally don't care about any MP aspect of COD games.",MazderVerhal,United Kingdom,Twitter Web App,0,16,107,0
2020-11-21 23:18:20,1330289473578524672,False,"@mrdomino_ Same, it just never felt right. TF1 MP with TF2 SP would be the unbeatable GOAT",Matty_Gregoire,,Twitter for Android,3,546,567,0
2020-11-21 21:30:58,1330262451280076802,False,"@DoctorWnba SP is pretty nice
MP is weak
ZM is a 8/10",CODZombieCringe,,Twitter for Android,1,269,283,0
2020-11-21 18:50:00,1330221946278187009,False,"@slakaveli But Slak, how? We got that through sp to mp. The ps5 will have its own gtao, separate from storymode, completely destroying the sp to mp link. 😔",lX_Dr_T4k3r_Xl,Los Santos,Twitter Web App,1,154,146,0
2020-11-21 17:18:13,1330198846136324096,False,"I think Nicola must be one of the most unique leaders of a Indy movement whose soul task is that of Indy, yet all the mandates we've given 48 MP's, now we're faced with Brexit, IMB removal of powers from SP and not even a debate on Plan B, time to go Nicola you've failed",ga11acher,,Twitter Web App,20,3844,3160,2
2020-11-21 16:18:49,1330183899452993549,False,Decided to try a commander draft jawn. Attacked two players at once and this shit goes wild. Keeps replaying itself but keeps crashing. Why would @MagicOnline think they could get MP games right when SP games have issues🧐🧐This is where it gets stuck🤦 https://t.co/m24oRnGBJv,amthebroseph01,"Philadelphia, PA",Twitter Web App,0,165,75,0
2020-11-21 16:07:29,1330181044730032128,False,"Thiem and Djokovic on every SP &amp; MP this TB
#NittoATPFinals https://t.co/tiTgGG9Jya",Manora23,,Twitter for Android,0,1931,367,0
2020-11-21 16:02:30,1330179789664235522,False,They will go 5 times SP-MP-SP-MP,eisberk,"Denizli, Türkiye",Twitter for Android,0,19,60,0
2020-11-21 16:00:54,1330179389057863681,False,"@aslam_IPS Great work by MP police Ma'am, do convey our best to the concerned SP👍👏",bir_sahi,Bharat,Twitter for Android,0,705,762,0
2020-11-21 16:00:38,1330179323647684612,True,SP or MP?,josemorgado,"Lisbon, Portugal",Twitter Web App,15,58959,1472,1
2020-11-21 14:15:05,1330152757840539648,False,Updated Workforce Framework for Cybersecurity: NIST SP 800-181 Revision 1 https://t.co/b5IBRKhcoe,PatrickCMiller,"Portland, OR (and airports)",Buffer,1,7154,2219,0
2020-11-21 13:57:15,1330148272833433603,False,"@dezAhhhhhhh If you're a fan of Zombies and of good SP and don't mind an MP that's a little sub-par then it's definitely worth getting.

If you're only getting it for the MP then it might still be worth getting, but imo MW has a far better MP experience.

It's still fun despite the issues",PatchyCasts,South Africa,Twitter for Android,1,430,447,0
2020-11-21 12:39:28,1330128696435486721,False,@MukyModz Give your cat some time to play it might have the next sp to mp glitch😂😂,GameCurrencyHub,,Twitter for iPhone,0,21,34,0
2020-11-21 12:27:24,1330125661571346434,False,"@labour2702 @SP_Duckworth ... and anyone who disagrees with his assessment can just bugger off, which tbh is a startlingly bold strategy for a first term MP in the seat that is likely to be most at-risk for the Conservatives round here come next GE.",tars75,,Twitter for Android,2,362,1129,0
2020-11-21 10:07:36,1330090479313154049,False,"For Me For #Suriya
Fav Character -  Goutham (MP), Athreya (24)
Fav First Look - #24 
Fav Teaser - #SooraraiPottru 
Fav Interval - #24
Fav S Series - #Singam 
Fav Film - #Gajini #V1000, SP
Fav Album - V1000 , SOK, Ayan , Poovellam Kettupaar 

I Evolved With You 
@Suriya_offl  Anna https://t.co/bcYxhrAzMi",SuriyaVirat_fan,Milky way Galaxy,Twitter Web App,0,277,350,1
