Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 23:27:11,1330291701328580610,False,@Dev_Fadnavis ##One of the useless &amp; unwanted politician in BJP who’s been thrown out of Maharashtra don’t know where he really stands did nothing in Maharashtra during his power only false promises &amp; hope like he did with all PMC bank depositors and their families##,obhan_satish,United Kingdom,Twitter for iPhone,0,8,94,0
2020-11-21 23:08:33,1330287010490232833,False,"@TimesNow @Dev_Fadnavis So you have been permanently kicked out of Maharashtra? Earlier they sent u to Bihar, now Pakistan. BJP ka Pak prem",srivrajesh,"Paisley, Scotland",Twitter for iPhone,1,157,353,0
2020-11-21 23:00:05,1330284878257147906,False,"Congress minister says no 'love jihad' law in Maharashtra, BJP corners Sena https://t.co/kp4md0dxHv",CFDTrading1,,RSSMultiply,0,787,818,0
2020-11-21 21:42:04,1330265245265301504,True,"“To bring a law for love jihad is foolishness. In the Constitution, it is written that a citizen can stay anywhere, marry anyone and adopt any religion and while anything forcibly is done, then there is already a provision in the law to deal with it.""

https://t.co/f3eQWe0JUD",IndianExpress,India,TweetDeck,55,3732182,316,5
2020-11-21 20:30:02,1330247117336682498,False,@silentkill_004 @beingarun28 @Ok_Bharatiya @Dev_Fadnavis @ChDadaPatil @jitengajaria @PravinAlai @AshishMerkhed @BJP4India Today or tomorrow Fadnavis will become CM of Maharashtra but save this tweet he won't finish the left ecosystem (largely based in Maharashtra) which is defaming Hindus and BJP. Because he wants to show how much liberal he is.,Indicwingerr,,Twitter for Android,0,94,44,0
2020-11-21 20:18:07,1330244121043349504,False,"@PChettan When others Arrested ye BJP wale jaanbhuz kr rhe sab mile hue hai
When someone who did Campaign for BJP
Ye sb Maharashtra Govt. Ne kia hai🤣🤣
And that is BJP inke apne log bhi arrest hote hai toh kch nhi krte ar itna mehnat kia hai post krne mai toh Center ka Power pta hi hoga",_Akimofficial_,,Twitter Web App,1,7,50,0
2020-11-21 20:07:03,1330241334846885890,False,"@NagariMumbaikar @arvindgunasekar I think u r poor in maths, let me explain! BJP got 105 seats in Maharashtra! Highest ! But shiv Sena cheated BJP n formed alliance with Congo n NCP .maharastra ppl didn’t kick bjp.",suresh_sushmita,,Twitter for iPhone,8,644,612,0
2020-11-21 19:57:23,1330238903308193797,False,"@VamsiChandran @kalyan2505 @RaveenthranD Iam not sure about Tamilnadu, but BJP did this successfully in UP,Maharashtra, Haryana and Nitish in Bihar through ebc's.",madrasigunner,,Twitter Web App,0,1,65,0
2020-11-21 19:24:50,1330230708825190404,False,"Prestitutes, pseudo liberals &amp; bollywoodiyas who get paid to cry foul for freedom of expression are hiding once again just like Maharashtra as it's not a state ruled by BJP govt.
#118A #hypocrisy #keralagovernorreject118a",itsmeVivo,भारत,Twitter for Android,2,32,60,0
2020-11-21 19:12:51,1330227696106954756,False,@OnlyOneCreator1 @osan_adil None of the regional parties have survived under BJP. Maharashtra's Shiv Sena was smart enough to pull out of the alliance. JD(U) is the latest example.,WilfredQuadros,Mumbai India,Twitter Web App,3,1941,2402,1
2020-11-21 18:59:30,1330224335399907331,False,"@AUThackeray @rautsanjay61 @OfficeofUT 

If you want to win #BMC_2022 then .... Restart the production of #MetroCarShed in #Aarey only..

Already you had cut the trees when you are with #BJP in last term..

Otherwise you are not going to win single seat in #BMC 

#Jay_Maharashtra",anup_dhule,,Twitter for Android,0,434,435,0
2020-11-21 18:18:31,1330214022562668546,False,@mgnayak5 @Dev_Fadnavis Who will lead Maharashtra BJP then?,ind_rajat92,"Dehradun, India",Twitter Web App,0,1583,595,0
2020-11-21 18:02:37,1330210018340253697,True,"Maharashtra government declares to probe 261% rise in power bills arrears during BJP government
https://t.co/VOwAb5dJ6g",faisalmushtaque,"Mumbai, India",Twitter Web App,0,1487,767,0
2020-11-21 17:53:56,1330207836262064129,False,@Dev_Fadnavis @cbawankule @BJP4Maharashtra @SandipJoshiNGP @BJP4Nagpur Go back to Bihar. Maharashtra doesn't need Maharashtra Drohi BJP,jay1290_,"Pune, India",Twitter Web App,0,520,244,0
2020-11-21 17:47:33,1330206227004088327,False,"@tanisharajMH20 @mirchagalib @Dev_Fadnavis That's , who should be next cm from bjp Maharashtra ??",arjunyeshwanthk,"Hyderabad, India",Twitter for Android,0,1382,5003,0
2020-11-21 17:46:00,1330205839047733251,False,"@mataonline Come on Maharshtra...
This is a wake up call to remove BJP from maharashtra soon...

Chase every leader of BJP...",LivingstonJohn5,Mumbai,Twitter Web App,2,97,247,1
2020-11-21 17:40:00,1330204329601544193,False,"@JagiPanda @soniandtv @sardesairajdeep @vikramchandra @ARanganathan72 @ShekharGupta @sagarikaghose @aroonpurie @pratyasharath @UnSubtleDesi @rahulroushan @TimesNow @g_smita @thewire_in @AartiTikoo @chitraSD Don’t expect any support from Rajdeep, he loves to hate any journalist who is even remotely  associated with BJP, his love starts and ends with Congress and the Aghadi Govt in Maharashtra",SuketuK,,Twitter for iPhone,1,218,152,0
2020-11-21 17:36:26,1330203429755629575,False,"@BhavikaKapoor5 People  should be worried about condition in delhi along with non BJP ruled maharashtra which ranks #1 with almost 20% of all incidents in India.

Playing politics over it is gross.",SciPhile88,Canada,Twitter Web App,0,0,26,0
2020-11-21 17:36:02,1330203329956368394,False,"They called themselves BJP Supporters and they used such language for Former Maharashtra CM &amp; BJP Leader in Assembly Shri. @dev_fadnavis &amp; fadnavis_amruta. 

@ChdadaPatil @jitengajaria @PravinAlai @AshishMerkhed https://t.co/mClagYR0Sw",jitumalibjp,jalor Rajasthan India ,Twitter for Android,0,1719,184,0
2020-11-21 17:29:38,1330201719964307465,False,@jitengajaria @Hind_Ka_Vasi We must remember that Maharashtra had voted for a majority for the BJP Shiv Sena pre-election combine which fought the elections under the leadership of Devendra Fadnavis,DelhiMuse,FREMONT CA,Twitter Web App,3,6035,3641,0
2020-11-21 17:27:17,1330201127422468100,False,"@XerxestheMagian Well It took 250 years Marathise India after Panipat.
 RSS mother organization of BJP is based in Nagpur,Maharashtra and to think of it modern Indian political leaders pre&amp; post indepence have been inspired by likes of Gokhale, Tilak &amp;Savarkar all come from heartland Maharastra.",chemc1990,"New Delhi, India",Twitter for Android,3,115,1396,0
2020-11-21 17:21:04,1330199561550393349,False,#lovejihaad is just a propaganda to hide all fallbacks of the #modigovernment. If some useless laws are going to be imposed in Maharashtra then youth will never tolerate it. It will be the dangerous nightmare for every #BJP leader. @ShivSena @OfficeofUT @waglenikhil #BJPKoBhagao,prnv_official,"Mumbai, India",Twitter for Android,0,9,27,0
2020-11-21 17:16:16,1330198354278682625,False,Young Leaders like you @RahulGandhi  &amp; of course Maharashtra Chief Minister @uddhavthackeray- never contested elections before is eloquent in Marathi. Sad you don't understand the language. He ripped apart shenanigans of the BJP far better than anyone,MohammedAliHai2,MUMBAI,Twitter for Android,0,750,912,0
2020-11-21 17:08:45,1330196465306767364,False,"@TV9Marathi @PrasadLadInd @BJP4Maharashtra @ShivSena This behaviour of BJP NETAS indicates BJP is SANKAT now in Maharashtra. 
Fadanvisji please tell your leaders to do something good for society. 
We r in Maharashtra.
No UP type politics required in our state. 🙏🙏🙏",Satishs71561229,"Nashik, India",Twitter for Android,0,5,133,0
2020-11-21 17:08:34,1330196419353972738,False,"@VamsiChandran Yes that's what without projection bjp can  win elections with proper social engineering..
Modi face is enough..

Example haryana 2014 Jharkhand 2014 maharashtra 2014 etc",Balooo03268713,,Twitter Web App,0,0,3,0
2020-11-21 17:05:18,1330195597538840581,False,@mirchagalib @SunainaHoley @Dev_Fadnavis Exactly he is the best thing to happen to bjp Maharashtra,Ash_0588,delhi,Twitter for Android,7,58,278,0
2020-11-21 17:01:18,1330194588783546378,False,"@PrinceArihan @CMOTamilNadu @rajinikanth I just want BJP in Maharashtra , it’s so suffocating with the current govt dictatorship ruling.",RjRaaju,United States,Twitter for iPhone,2,32,100,0
2020-11-21 16:52:11,1330192296390881282,False,"@SaketGokhale @PriyankKharge Yes in 2014 when his was in-charge of UP , he got 73/80. In 2019 it was Bengal which made history. Maharashtra, Bihar, Karnataka, MP ,Haryana .. BJP managed to become  single largest party. Retained Gujrat. But for Saketji , our ULTRA youth leader should be the PM.",bhasad__,Mumbai,Twitter for Android,15,4,135,0
2020-11-21 16:50:33,1330191882002034691,False,@Pund_Vijay26 @ramkadam Crime of every nature is very common in UP. Bjp Maharashtra knows it very well.,pawar_ash,Mumbai ,Twitter Web App,2,27,149,0
2020-11-21 16:49:30,1330191617932845057,False,"If you are a BJP supporter in Maharashtra, save this pic.
I will explain more in 2021, if my guess comes true. https://t.co/duyehU6JgX",KiranKS,"Bengaluru, India",Twitter for Android,1227,149849,1401,108
2020-11-21 16:40:07,1330189257584107527,False,"#BJP cheats #Telangana once again. Hey @bandisanjay_bjp @Arvindharmapuri @BJP4Telangana #తుపుక్ your @BJP4India sanctions #foodprocessingcenters in MP, Gujarat, UP, Maharashtra,J&amp;K, Karnataka, TN, Uttarakhand, Assam, and Manipur.
#GHMCElections #VoteForCar https://t.co/Uq5qt8imrm",OrugalluBidda,"Hyderabad, Telangana",Twitter for Android,1,1848,1071,0
