Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 20:07:03,1330241334846885890,False,"@NagariMumbaikar @arvindgunasekar I think u r poor in maths, let me explain! BJP got 105 seats in Maharashtra! Highest ! But shiv Sena cheated BJP n formed alliance with Congo n NCP .maharastra ppl didn’t kick bjp.",suresh_sushmita,,Twitter for iPhone,8,652,616,0
2020-11-21 18:43:22,1330220273300332549,False,"@OfficeofUT @AUThackeray @rautsanjay61 

If you want win the heart of #Mumbaikar and #Maharashtra then support #India (#Bharat) is our #Hindu_Rashtra 

Already #Congress and #NCP is declare that they are participating independent in #BMC_2022 

Otherwise you are not going to....",anup_dhule,,Twitter for Android,0,433,435,0
2020-11-21 15:26:44,1330170788528480262,False,@gauti8619 @WcwwweU @arvindgunasekar 😂 it's Maharashtra my friend. Don't you saw how so called Chanakya of BJP got defeated in government formation? Every single MLA locked by BJP came back. Still you feel BJP has strong base. 😂 105 they got because 35 NCP Congress leaders inducted before election,NagariMumbaikar,"Maharashtra, India",Twitter for Android,0,20,181,0
2020-11-21 15:17:05,1330168362748547072,False,@gauti8619 @WcwwweU @arvindgunasekar On which planet u are leaving? Here BJP MLAs are joining NCP &amp; ShivSena.Chalo 4 ur better understanding go &amp; study present MLA of BJP - their background.Half of them are from NCP or https://t.co/Wcud2hQ6cG in Maharashtra it's more about local leaders than party.,NagariMumbaikar,"Maharashtra, India",Twitter for Android,0,20,181,0
2020-11-21 11:40:59,1330113977045671936,False,The Congress’ frustration in the Maharashtra govt #Delhi #Rajasthan #Telangana #TamilNadu #BJP https://t.co/eF6JlZWYFN,SUMEETGOSWAMI,South wales,Twitter Web App,0,19,167,0
2020-11-21 09:23:14,1330079311345438720,False,"@KiritSomaiya Am patiently waiting when will BJP govt reform in Maharashtra? Once govt in power all shav senas, NCP's &amp; some deshdrohi congress will taste jails....Chun chun k badla lenge....",monudgunner,India,Twitter for Android,2,42,479,0
2020-11-21 09:20:56,1330078732204302337,False,"The @INCIndia in Maharashtra is in a vulnerable position with the state leadership not willing to stick its neck out in taking difficult decisions or working towards expanding the party’s base.
@asadowaisi @imtiaz_jaleel @warispathan
https://t.co/RMkbfwIi88",sheikhsabeer26,India,Twitter for Android,0,12,118,0
2020-11-21 09:05:49,1330074928239038467,False,"Meeting with Honourable Governor of Maharashtra H.E. Shri Bhagat Singh Koshiyariji and NCP chief Shri. Sharad Pawar Saheb, Discussing the Development of University.

#development #Isbmuniversity #Pawarspeaks #DrVinayAgrawal #Karonapadhai #KNOWLEDGE #Wisdom   #Humanity https://t.co/I76NX45O6G",vinaymagrawal,India,Twitter Web App,7,151,11,1
2020-11-21 08:45:15,1330069755924017152,False,"@pradip103 When will MafiaRaj in Maharashtra end? Take a vow to raise ur voice to politically eliminate Cheats of MahaCorruptBandhan - CorruptCong, SoniaSena &amp; Dawood’s NCP now.  @republic @Tejasvi_Surya @TajinderBagga @TimesNow #IAmRepublic #IndiaWithArnab #ArnabGoswami #ArnabIsBack",indianityfirst,,Twitter for iPhone,0,23,69,0
2020-11-21 06:15:45,1330032130928353282,False,@ss_suryawanshi @NewIndianXpress Preparation for making indirect friendship of BJP towards NCP to make woman CM in upcoming election of Maharashtra...Daav pench by Ashish Shelar BJP.,Rajjain1975,"Bhayander East, Mumbai",Twitter for Android,0,2,20,0
2020-11-21 06:02:01,1330028675333582849,False,Explained: The Congress' frustration in the Maharashtra govt. https://t.co/4fQZ7CUR6I via @IndianExpress,pksrivastava6,Chennai,Twitter Web App,0,5612,2295,0
2020-11-21 01:30:00,1329960219397353472,True,"With consumers complaining of high electricity bills amid the pandemic, opposition parties in Maharashtra have demanded that the Shiv Sena-NCP-Congress government grant concessions in payment.

https://t.co/OHOhMbHl3l",CNNnews18,India,TweetDeck,12,4544983,415,1
2020-11-21 00:28:07,1329944644516515840,False,"@UshaNirmala If @bjpmaha aligns with any party, then they r the loosers.  No one will vote for BJP after that. If they have morality BJP shouldn’t align with any in Maharashtra either NCP or Congis or Sonia Sena. Fight independently &amp; bjp will move majority govt next",HKadakeri,,Twitter Web App,0,204,402,0
2020-11-20 18:08:58,1329849228730851328,False,Explained: The Congress’ frustration in the Maharashtra govt https://t.co/Obwu0eDHvN via @IndianExpress,liyer,New Delhi,Twitter for Android,0,1017,443,0
2020-11-20 17:50:58,1329844698106785792,False,"Maharashtra: Ajit Pawar&amp;#8217;s neighbour in Baramati commits suicide, accuses NCP leaders of harassment in note https://t.co/u9Ykf4RK1F via @OpIndia_com",MuralidharKara4,,Twitter Web App,0,2,10,0
2020-11-20 17:43:44,1329842880584642563,False,@srinivazvasu @UshaNirmala @BJP4India must understand lot has happened in #Maharashtra both politically &amp; socially. Surely people are shifting their allegiance and @bjpmaha must take the advantage. Recent situations in the State has stirred and shaken the trust of the people against NCP+INC+SS combine.,ItsVinayRaj,India,Twitter for Android,3,546,1768,1
2020-11-20 17:38:45,1329841623941799936,False,"Explained: The Congress’ frustration in the Maharashtra govt | Explained News,The Indian Express https://t.co/aCGMvnvd4T",NitinMRao,Pune ,Twitter Web App,0,682,1824,0
2020-11-20 17:19:01,1329836660582977543,False,"@VikramGoel13 From where r u getting this? Not possible. NCP’s Muslim will not support that. Pawar is de facto Incharge in Maharashtra, why he need a CM from NCP",harigoyalcanada,"Burlington, Ontario",Twitter for iPad,10,340,359,1
2020-11-20 16:55:12,1329830666104520705,False,Explained: The Congress’ frustration in the Maharashtra govt https://t.co/RppHFzbIRm,seshaiah_g,,Twitter Web App,0,5,1,0
2020-11-20 16:42:20,1329827426516525058,False,"Does it look like a BJP-NCP alliance in Maharashtra, brewing, with a possibility of NCP CM",VikramGoel13,,Twitter Web App,142,851,2551,17
2020-11-20 15:26:20,1329808301958303744,False,BJP still dreams of coalition with NCP for power in Maharashtra. https://t.co/4vCftzd0dI,prajakta_s_c,,Twitter for Android,1,194,231,0
2020-11-20 14:36:16,1329795701706932228,False,@rohini_sgh @ss_suryawanshi @NewIndianXpress NCP lobby have hidden wish which peeps out thru the party loyalists in public media that Supriya Sule shall be the CM of Maharashtra. 🙄🤞,Sid_at_his_pace,,Twitter for Android,0,2112,594,0
2020-11-20 14:19:46,1329791548393889793,False,"Indirectly hinting towards Supriya Sule, Sr BJP leader Ashish Shelar in presence of NCP chief Sharad Pawar said, an efficient Maratha woman should be CM of Maharashtra. Major section of society feel, Maratha woman should be CM &amp; he will also support dis decision @NewIndianXpress",ss_suryawanshi,Mumbai,Twitter for Android,529,19550,432,34
2020-11-20 13:55:19,1329785395773542401,False,"@SankarshanT @asadowaisi Because of him &amp; his party, the BJP has benefited in a number of states. For example, last year, in Maharashtra assembly elections, he deprived INC/NCP of at least 12 seats. 
He &amp; @aimim_national surely are a M-team of the BJP. No ED/CBI/ITD raids. 
2/3",RanjitOne,"Maharashtra, India",Twitter Web App,1,5803,1400,0
2020-11-20 12:35:55,1329765414507737088,True,"BJP leader and former Maharashtra energy minister Chandrashekhar Bawankule warned that electricity bills will be burnt across the state on November 23 if no relief is given to consumers.

https://t.co/ZcVdgC7xdI",news18dotcom,India,TweetDeck,1,149168,181,0
2020-11-20 11:45:02,1329752611998711808,False,"Congress Big Action On MVA Alliance &amp; Maharashtra CM Uddhav Thackeray ShivSena Govt Trouble? BJP NCP
BMC ELECTION WILL BE FOUGHT BY CONGRESS INDEPENDENTLY INDICATES THE FUTURE OF MVA GOVT.
https://t.co/mzdKbVgj9A
#Impose302InSSRCase",manav717,"Haldwani-Kathgodam, India",Twitter Web App,8,1135,2310,6
2020-11-20 11:03:54,1329742258174771202,False,"@RavindraAkolka3 @rustyDustyRoad @sardesairajdeep @htTweets No one hd sn 2morrow bt d facts r BJP is in d brink of split in Maharastra.If BJP is so confident of gaining in fresh Elections in Maharashtra, it hs more arms of power to dismiss &amp; hold Elections.Hd nt d Chanakya stroke of NCP in revoking President rule, no Govt would hv formed",MNAHUS,"New Delhi, India",Twitter for Android,0,869,2611,0
2020-11-20 10:00:00,1329726178295390209,True,"As the Maharashtra Vikas Aghadi government is set to complete a year in office, there are rumblings in the triumvirate of the Shiv Sena, Congress and NCP.

@zeeshansahafi looks at what the latest tiff is all about. #ExpressExplained

https://t.co/2YWpJHcITr",ieexplained,"New Delhi, India",TweetDeck,0,17442,25,0
2020-11-20 09:33:33,1329719521871941632,False,"NCP may also dump Congress and have an alliance with Shiv Sena in future elections in Maharashtra. 
How long can @INCIndia survive with the support of regional parties? 
Congress need to re-establish itself, but without Gandhi family in it. https://t.co/R7RkCBydo9",rajiv_shastri,Mumbai,Twitter Web App,0,474,372,0
2020-11-20 07:09:51,1329683358310273025,False,"@aayeff1 @Faiz_INC @INCIndia @BJP4India The RJD won 75 seats and is the single largest party in Bihar. JMM won in Jharkhand.The NCP and Sena have more seats than the Congress in Maharashtra.. The Congress remains a non entity in TN, Bengal and the Telugu states.. that's what should worry Congress partisans",nikes225,"Bangalore,India",Twitter for Android,1,1377,1521,1
2020-11-20 06:26:52,1329672540244029440,False,"@pratapse @Deus_Ex_DeMo @bhak_sala @Abhina_Prakash Maharashtra is the same, Maratha-Kunbi is 33-40% of the MH population and they vote as a block for NCP ShivSena.",NightKinginho,Westeros,Twitter for iPhone,0,56,98,0
2020-11-20 05:42:11,1329661295038062592,False,"Maharashtra: Ajit Pawar’s neighbour in Baramati commits suicide, accuses NCP leaders of harassment in note https://t.co/JV4uovPnhC via @OpIndia_com",Kunal_Verma_pb,"Punjab, India",Twitter for Android,0,317,1627,0
2020-11-20 04:54:58,1329649413816418304,False,"@rrrrroooohhhiit @KafirBrahman Ruling Party responsible in Maharashtra is Shiv sena + NCP + INC

and by ""We do hold Ruling Party responsible in Maharashtra""
i ment (Shiv sena + NCP + INC, not Central govt)

My question Stands
Why cant you even question Central Gov

you defend Gov instead of asking questions",johnsonmathias1,Mumbai,Twitter Web App,0,699,1911,0
2020-11-20 04:09:31,1329637974762344448,False,"Maharashtra Vikas Aghadi announces its candidates for elections to Maharashtra Legislative Council- NCP &amp; Congress to contest two seats each &amp; Shivsena to contest one.

Polls for biennial election to the State Legislative Council from 5 constituencies to be held on 1st December. https://t.co/ktiJ3K0fFU",Indsamachar,India,Twitter for Android,2,17014,0,0
2020-11-20 03:52:01,1329633570877390849,False,"Gangapur #BJP #MLA, 15 others #booked for #Cheating to the tune of Rs 15.70 cr

#SugarMill #Cheating #sugarcane #farmers #crime #crimewatch #CrimeNews #Aurangabad #Maharashtra #NCP
#ShivSena #Congress

 https://t.co/zCLHnkVkY9",MohdAkhefTOI,"Aurangabad, India",Twitter for Android,0,188,513,0
2020-11-20 03:02:10,1329621026808819714,False,"@ANI Where does Cong stand in Mumbai or Maharashtra?From entire Maha it could manage 40 Assembly seats. It came 4th after BJP (105),Shiv Sena (56) and NCP (54).",sanchat48,,Twitter for Android,0,491,151,0
2020-11-20 02:47:22,1329617302547927042,False,"@NitzD1809 @caloyasachin @ANI
Maharashtra Vikas Aghadi announces its candidates for elections to Maharashtra Legislative Council- NCP &amp;congress to contest two seats each &amp; Shivsena to contest one.

Polls fr biennial eletn to the State Legislative Council from 5 constituencies to be held on 1st December.",Jazz78282890,,Twitter Web App,1,4,25,0
2020-11-20 02:41:50,1329615907367182337,False,"#Maharashtra: #MVA announces its candidates for elections to Maharashtra Legislative Council #NCP &amp; #Congress to contest two seats each &amp; #ShivSena to contest one.

Polls for biennial election to the State Legislative Council from 5 constituencies to be held on 1st December. https://t.co/yNLM7FfVPF",the_news_21,"Mumbai, India",Twitter for Android,0,205,852,0
2020-11-20 02:18:38,1329610072578613248,False,"This is the right time for @OfficeofUT to proove they are not only against @ArnabGoswamiRTV

Ajit Pawar's neighbour commits suicide, names local NCP leaders in note https://t.co/vUcZsyrW16 via OpIndia_com",Sathishaks,Bengaluru,Twitter for Android,0,387,455,0
2020-11-20 00:42:20,1329585836980006913,True,"Maharashtra Vikas Aghadi announces its candidates for elections to Maharashtra Legislative Council- NCP &amp; Congress to contest two seats each &amp; Shivsena to contest one.

Polls for biennial election to the State Legislative Council from 5 constituencies to be held on 1st December.",ANI,India,Twitter Web App,234,4964540,0,14
2020-11-20 00:30:00,1329582731341291520,True,"Maharashtra BJP leader Pravin Darekar on Thursday accused the ruling Shiv Sena and NCP of trying to destroy their ally Congress in the state by ignoring its demands.

https://t.co/BJdtglcjyJ",htTweets,India,TweetDeck,14,7818114,125,0
2020-11-19 21:46:58,1329541701803724800,False,"Who will arrest people mentioned in SUICIDE note ? 

Will they ? 

 https://t.co/BNOrQXg28F

#RepublicRoar4SSR
#FreeGhanshyamImmediately https://t.co/Wy5DZrFxjw",Shweta98641206,India ,Twitter Web App,0,89,78,0
2020-11-19 19:40:53,1329509972435030016,False,"#अजीत_पवार के पड़ोसी ने # एनसीपी नेताओ से तंग आ कर, कर ली #आत्महत्या ! /www.opindia.com/2020/11/maharashtra-ajit-pawars-neighbour-baramati-commits-suicide-accuses-ncp-leaders-harassment-note/amp/?__twitter_impression=true",PremShuklaBJP,India,Twitter for Android,67,20996,649,7
2020-11-19 18:42:50,1329495367012892672,False,"Maharashtra: Ajit Pawar’s neighbour in Baramati commits suicide, accuses NCP leaders of harassment in note! Will Coward Meme Police @MumbaiPolice Penguin Army of @OfficeofUT Arrest Ajit? https://t.co/Fk1p4bwMaM",MahaveerM_,"Tamil Nadu, India",Twitter for Android,2,77924,1534,2
2020-11-19 18:07:12,1329486396432605184,True,"Ajit Pawar's neighbour commits suicide, names local NCP leaders in suicide note. #Maharashtra

https://t.co/RQGdfdiWCD",MrsGandhi,"Maharashtra, India",Twitter for Android,1010,462174,1377,245
2020-11-19 18:00:59,1329484832728965120,False,"KCR calling congress less opposition Mahagatabandhan  , what CM of Maharashtra &amp; NCP say now? This is one  MGB, next MGB with out some other party, next MGB with CPM&amp; CPI . So they try permutation&amp; combination till 2034?!",Hampinagara,"Hampi Nagara, Bengaluru",Twitter for iPhone,2,22,89,0
2020-11-19 17:57:21,1329483920346267648,False,"Will Maharashtra police will act like  Arnav case? 
https://t.co/UgdpitGwWg",hcburnwal,New Delhi,Twitter for Android,3,4104,183,1
2020-11-19 17:56:53,1329483800447881218,False,Chameleon is this joker because he knows very well that it is #NCP in #Maharashtra and the oldest aly of Congress which wants all Naxals arrested in #BhimaKoregaon case be released. https://t.co/mjEZIpv3fM,Ranjitism,,Twitter for Android,0,159,1,0
2020-11-19 17:44:06,1329480585086078977,False,Will these #NCP leaders be arrested too on basis of this suicide note @CMOMaharashtra @AnilDeshmukhNCP ? #Maharashtra https://t.co/39MHfNf6G4,MisterKulkarni,Mumbai & Goa,Twitter for Android,0,1038,1007,0
2020-11-19 16:40:22,1329464546713505793,False,"@Chouhan_ks @Drsunandambal @swetamishraa @Anju1951Purohit @shytigress @keeranl @Bharatwashi1 @jitin_bhalla @swetaa_mishraa @Am_dilip1 @KEYESEN2000 @NationmyFamily @surewrap @roshovani @INSANATAN @RohitSi09082662 @Satishrathod100 @kailashkaushik8 @macharajarao @BachaoIndiako @prasad_perla @paperrose2k @WishMaster2019 @DhananjayParkhe @Saliltoday @Savitritvs @NaniBellary @sukumaranlens @bgopu1973 @chandanas @cbkwgl @Dakkar_P @TheBongHead @nkjohri @NetaNiyanta @NumbKhopdi @ob_serv_er @OmShantiSanghi @onlyonenetra @sinhapurna13 @panditsripathak @BHARATNARAYAN7 @PeepulTree1 @QuranaVirus @mysql_sync @SortedEagle @The_WittyLawyer @GenPanwar @RBhamaria The accused had lent money to Pritam Shah at the high-interest rate of 30%. Pritam Shah had already repaid the loan, however, the #NCP leaders wanted to extract more money from Shah &amp; were allegedly harassing him for it
https://t.co/LpMBwHXNth",AjitsinhJagirda,,Twitter Web App,12,3832,4952,9
2020-11-19 16:31:29,1329462311724191747,False,"Maharashtra: Ajit Pawar's neighbour in Baramati commits suicide, accuses NCP leaders of harassment in note https://t.co/CYqgVidy9J via @OpIndia_com",Aatish00959462,,Twitter for Android,0,205,961,0
2020-11-19 16:09:19,1329456732070965250,False,"Ajit Pawar's neighbour commits suicide, names local NCP leaders in note https://t.co/aJYeU6zj6d via OpIndia_com —🤡Will The Police Arrest the accused named in the note ????",harishbudhlani,THANE ( Mumbai ) India,Twitter for iPhone,0,184,207,0
2020-11-19 15:56:34,1329453521217970188,False,"So !!! Now what will @CMOMaharashtra &amp; @CPMumbaiPolice do ?? 
@republic @ArnabGoswamiRTV @Republic_Bharat 
~~~~~~~~~~~~~~~~~~~~~~~~~~~
Ajit Pawar's neighbour commits suicide, names local NCP leaders in note https://t.co/Kl98psNiW0 via OpIndia_com",iSM2407,,Twitter for iPhone,0,506,2377,0
2020-11-19 15:54:18,1329452953636380673,True,"BJP leader Pravin Darekar slams @ShivSena and @NCPspeaks.

https://t.co/TjGVp2by3a",MumbaiMirror,"Mumbai, India",Twitter Web App,7,395856,234,0
2020-11-19 15:47:27,1329451227659333632,False,"Maharashtra: Ajit Pawar’s neighbour in Baramati commits suicide, accuses NCP leaders of harassment in note https://t.co/doRSkH2Fyg via @OpIndia_com",iyer56,Perambur,Twitter Web App,0,78,111,0
2020-11-19 15:34:48,1329448043339542532,False,"The accused had lent money to Pritam Shah at the high-interest rate of 30%. Pritam Shah had already repaid the loan, however, the NCP leaders wanted to extract more money from Shah and were allegedly harassing him for it
https://t.co/CVua3EwDwj",Srikanth4Bharat,Bharat,Twitter for Android,4,1098,259,1
2020-11-19 15:32:00,1329447342177726465,False,"Maharashtra: Ajit Pawar’s neighbour in Baramati commits suicide, accuses NCP leaders of harassment in note https://t.co/udRkm0yh5R via @OpIndia_com",BairiSugreev,भारत,Twitter for Android,1,33402,1418,0
2020-11-19 15:30:00,1329446838391382016,True,"The accused had lent money to Pritam Shah at the high-interest rate of 30%. Pritam Shah had already repaid the loan, however, the NCP leaders wanted to extract more money from Shah and were allegedly harassing him for it
https://t.co/8qvn1KVHJn",OpIndia_com,New Delhi,TweetDeck,973,488198,127,260
2020-11-19 15:18:23,1329443911979462658,True,"#PravinDarekar made the remark while speaking to the media during his visit to campaign for #SangramDeshmukh, BJP's candidate from #Pune graduates constituency.

https://t.co/DdtONiLDKJ",ThePuneMirror,Pune,TweetDeck,1,27430,175,1
2020-11-19 15:09:32,1329441684640378886,False,"#MVA Govt in #Maharashtra made up of #NCP #Congress and #ShivSena is going to fail 👎

#MaharashtraGovt https://t.co/Cimnb7tiXU https://t.co/zJiBvnLPi1",GreatfolkRocks,🇮🇳,Twitter for Android,0,406,1448,0
2020-11-19 14:41:10,1329434547059044360,False,"Now Ajit pawar s neighbour commits suicide names NCP leaders in the suicide note. Will the maharashtra police arrest them like arnab goswami @sgurumurthy @Republic_Bharat @republic

https://t.co/tCUeBy5Qu7",ShibiIyer,India,Twitter for Android,1,34,152,0
2020-11-19 14:26:17,1329430800253718539,False,"In a shocking incident, a neighbour of Maharashtra Deputy CM  Ajit Pawar has reportedly committed suicide in Baramati and has named NCP leaders in the suicide note as the reason for his death👉@CPMumbaiPolice  @HMOKarnataka whom will u arrest now ?

 https://t.co/I2NpoagUwF",DigantaBJP,New Delhi India,Twitter for iPhone,0,1374,489,0
2020-11-19 14:13:21,1329427548934078469,False,"@rautsanjay61 What a shame .. where Maharashtra is heading under Shiv Sena ... do it more and more ... couple of more years my friends ... people will teach lesson to Shiv Sena , congress and NCP",ravi40606990,,Twitter for iPhone,0,0,11,0
2020-11-19 14:01:18,1329424514535608320,False,test3 NCP leader Eknath Khadse tests +ve for Covid https://t.co/tuYnVLPfFQ,Testrisha,,Sprout Social,0,19,74,0
2020-11-19 13:26:25,1329415737954353154,False,"@ANI Congress does not need SS, SS does not need NCP, NCP does not need Congress.... and yet they are together to cause suffering to the people of Maharashtra",rohit121171,"New Delhi, India",Twitter for iPhone,1,316,377,0
2020-11-19 13:23:31,1329415006778134529,False,"@prettypadmaja It's the NCP calling the shots in Maharashtra...

#Congress is a spent force even in Maharashtra &amp; it's a good omen that they are going for pre poll alliance in Kashmir..

Guaranteed to bring the Gupk@r gang down..",AnirCareer,"Pune, India",Twitter for Android,2,89,486,0
2020-11-19 13:16:47,1329413312761610240,True,"NCP leader and former Maharashtra minister Eknath Khadse has tested positive for #COVID19. He is set to be admitted to a city-based hospital.
https://t.co/6DID8AUWJZ",NewIndianXpress,Chennai,Twitter Web App,5,457583,553,0
2020-11-19 13:16:37,1329413270562750465,False,"@Tanraj58 @CosmoParanormal @Tushar_Patell @indSupremeCourt @republic @BJP4India @HMOIndia You do not have logical grounds to speak up &amp; do not even know,where I am from but still blabbering.
We are highly secured in the #BJP ruled state &amp; I have soo many known,scared to live in #Maharashtra now.
We are asking for Justice &amp;what is scared #ShivSena #CONgress #NCP doing?",Tunni4SSR,,Twitter for Android,0,201,561,0
2020-11-19 12:47:52,1329406033031172097,False,"Who will arrest people mentioned in SUICIDE note ? 

Will they ? 

 https://t.co/uXTDHH3D2H…

#RepublicRoar4SSR
#FreeGhanshyamImmediately 

https://t.co/OdU5H5aQBJ",ShyamaV1,,Twitter for iPhone,0,149,162,1
2020-11-19 12:27:44,1329400969571020802,False,Can #MVA have some morals to ask the same in Maharashtra for already appointed corrupt ministers from NCP and Congress ? https://t.co/l0vUqJ2L3M,Sanjay300683,"Stockholm, Sweden",Twitter for iPhone,0,109,422,0
2020-11-19 12:23:20,1329399859514810368,False,"Who will arrest people mentioned in SUICIDE note ? 

Will they ? 

 https://t.co/3X0v2CcY3E

#RepublicRoar4SSR
#FreeGhanshyamImmediately",itsNitikaSingh, Everywhere,Twitter for Android,29,4843,221,11
2020-11-19 12:09:18,1329396329869574144,True,"#COVID19 

Maharashtra: Eknath Khadse who recently jumped from BJP to NCP has tested positive for COVID19. He appealed to all those who has come in his contact to get tested

Live updates 👇
https://t.co/xnHHt9u7XA",timesofindia,New Delhi,TweetDeck,35,13235838,505,1
2020-11-19 12:07:21,1329395836397076480,True,"Maharashtra: #EknathKhadse, who recently jumped from BJP to NCP, has tested positive for Covid-19.",TOIMumbai,Mumbai,TweetDeck,64,221641,82,5
2020-11-19 11:59:09,1329393774791774220,False,"Will #Meme Police take any action against NCP leader?
Maharashtra: Ajit Pawar’s neighbour in Baramati commits suicide, accuses NCP leaders of harassment in note https://t.co/Hjw67S9DsW",AeroDixit,Non- Secular,Twitter for Android,0,4042,3965,0
2020-11-19 11:43:59,1329389956989472768,False,"@republic
Ajit Pawar's neighbour commits suicide, names local NCP leaders in note https://t.co/3fHNrHvS0I via OpIndia_com",4ashish2012,"Mumbai, India",Twitter for Android,0,153,213,0
