Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 19:20:37,1330229648903581700,False,Shivsena is using the Secular way to rule Maharashtra for a long time.,tAshutosh027,वसुधैव कुटुम्बकम्🌍,Twitter for Android,0,380,23,0
2020-11-21 19:05:00,1330225718702305281,False,@liberal_SR @ParagSMohite @niteshthakur9 @Deepali_p @RavatHiral @PoojaTanksalkar @GoreSatyawan @DParimal17 She has been arrested for quitting the party I guess she very much impressed with @ShivSena The way Hon’ble @CMOMaharashtra @OfficeofUT ji have taken care of Maharashtra in this pandemic,arman_parve,"Mumbai, India",Twitter for iPhone,0,804,639,0
2020-11-21 18:54:30,1330223076454363143,False,"@PawarSpeaks Sir u r d most powerful man in Maharashtra&amp; also looking in 2 dCityCoOp🏦issue,yet dis tiny issue is nt resolvd in last 30mths,Pl use ur powers&amp;sack fraud officers creating hurdles in mergerPl do d needful 2 give🔙 v91k achldrs money @OfficeofUT @ShivSena @NCPspeaks https://t.co/cTiOl6io82",MVBH123456,"Thane, India",Twitter for Android,1,53,377,0
2020-11-21 18:40:15,1330219491347853313,False,@PawarSpeaks sir u r d most powerful man in Maharashtra V have full hopes in u dat u will do d needful 2 merge dCityCoOp🏦 wid MSCB &amp; give🔙v91k achldrs money stuck &amp; is being looted fm 30mths Pl do needful 2 give🔙our hardernd money @OfficeofUT @NCPspeaks @ShivSena @AUThackeray https://t.co/vJu7Bpdd55,MVBH123456,"Thane, India",Twitter for Android,0,53,377,0
2020-11-21 17:52:40,1330207516907724803,False,"@Dev_Fadnavis after 30 years of misgovernece of Mumbai, #ShivSena has restored to its old trick of raising sentiments in the name of Samyukt Maharashtra &amp; Marathi Pride to win @mybmc or is to counter @RajThackeray who might offer a formidable challenge to the Sena 1/2",SuketuK,,Twitter for iPhone,0,218,152,0
2020-11-21 17:21:04,1330199561550393349,False,#lovejihaad is just a propaganda to hide all fallbacks of the #modigovernment. If some useless laws are going to be imposed in Maharashtra then youth will never tolerate it. It will be the dangerous nightmare for every #BJP leader. @ShivSena @OfficeofUT @waglenikhil #BJPKoBhagao,prnv_official,"Mumbai, India",Twitter for Android,0,9,27,0
2020-11-21 17:16:16,1330198357197922308,False,"@uddhavthackeray heads @ShivSena founded by his father Hindu Hriday Samrat he talked of HindaviSwaraj not Hindutva. Post Babri riots they won- gave Maharashtra 5 yrs= 0 communal Riots &amp; DEVELOPMENT
True Hindus respect all human rights Rightly they're with @INCIndia @NCPspeaks",MohammedAliHai2,MUMBAI,Twitter for Android,1,750,913,1
2020-11-21 17:08:45,1330196465306767364,False,"@TV9Marathi @PrasadLadInd @BJP4Maharashtra @ShivSena This behaviour of BJP NETAS indicates BJP is SANKAT now in Maharashtra. 
Fadanvisji please tell your leaders to do something good for society. 
We r in Maharashtra.
No UP type politics required in our state. 🙏🙏🙏",Satishs71561229,"Nashik, India",Twitter for Android,0,5,133,0
2020-11-21 16:09:50,1330181637401964544,False,"@ShivSena
@ShivsenaComms
@INCMumbai
@NCPspeaks

Request CM Maharashtra to Recognize 

Relu is Unstoppable, she rows 18km daily to attend to tribal babies health  a Angadwadi worker. Taking on the mighty river Narmada river in Maharashtra #inspiration 

https://t.co/KhVgQvS7NV",AKMunjal123,,Twitter for Android,0,195,15,0
2020-11-21 16:03:07,1330179948456316928,False,@PriyankKharge Amit Shah and Modi are discussing for to make Mumbai BSE to shift in Gujarat for Gujrati people all BJP government is not supporting Maharashtra for Shivsena government is won they all discused about to make Mumbai a union territory and they want all things from Maharashtra,Atharva01572901,"Nallasopara, Mumbai",Twitter for Android,0,0,7,0
2020-11-21 15:56:19,1330178235376791560,False,"@dravida_spark Truly sir, seeing all these messages has highlighted the elevated thinking in TN..Thanks god for dravidians! Like during Mughal times, the #BJP will be stopped from moving below Maharashtra..thanks to our new age 'Shivaji' Maharaj, @shivsena in MH, and to the 5 dravidian states!",thenriforum,United States,Twitter Web App,0,85,547,0
2020-11-21 15:36:43,1330173304351698953,False,"@sardesairajdeep @narendramodi @AmitShah @PMOIndia @HMOIndia @ShivSena @NCPspeaks @INCIndia @BJP4India @AamAadmiParty @MamataOfficial @Naveen_Odisha @KanimozhiDMK @EconomicTimes @TOIIndiaNews @htTweets @dna @IndianExpress @rsprasad @RSSorg @PChidambaram_IN @KapilSibal @sambitswaraj @TwitterIndia @MEAIndia @TimesNow @IndiaToday @CNBCTV18News @republic @barandbench @SrBachchan @iamsrk @TOIMumbai @nsitharaman @DasShaktikanta @sagarikaghose @Nidhi @pbhushan1 @anandmahindra @mybmc @KanganaTeam @OfficeofUT @CMOfficeUP @TOIMumbai @nsitharaman @sagarikaghose @Nidhi @pbhushan1 @anandmahindra While Netas in Maharashtra have been harping on Shivaji Maharaj for votes,  the magnificent forts in Maharashtra r in a state of near ruin, thanks to Maharashtra govt",shileshsiva,,Twitter for Android,0,12,111,0
2020-11-21 15:17:05,1330168362748547072,False,@gauti8619 @WcwwweU @arvindgunasekar On which planet u are leaving? Here BJP MLAs are joining NCP &amp; ShivSena.Chalo 4 ur better understanding go &amp; study present MLA of BJP - their background.Half of them are from NCP or https://t.co/Wcud2hQ6cG in Maharashtra it's more about local leaders than party.,NagariMumbaikar,"Maharashtra, India",Twitter for Android,0,20,181,0
2020-11-21 14:47:37,1330160945855860745,False,"https://t.co/qG7c9MnYJa 

#BJP used
#shivsena in #Maharashtra
#Akalidal in #Punjab
@jduonline in #Bihar
#JDS in #Karnataka
#AGP in #Assam

Initially BJP start as Jr partner &amp;later kick the Regional Party to side

See is the condition of those parties today😜😜😜

@AIADMKOfficial",TittyVinoo,The world ,Twitter Web App,0,550,544,0
2020-11-21 13:17:15,1330138206529069059,False,Maharashtra: Shiv Sena MLC booked for poll code breach https://t.co/OWBN1hs2xD #Maharashtra #Amravati #MLCpolls @ShivSena #ShivSenaMLC #ShrikantDeshpande #pollcodebreach #SangitaShindeBonde @meudaysamant @RealBacchuKadu @AdvYashomatiINC @InfoAmravati @ShivsenaComms,the_news_21,"Mumbai, India",Twitter for Android,0,205,852,0
2020-11-21 13:00:57,1330134103224709123,False,"@TheQuint This the death nail for AIADMK. Whoever allied with BJP, was finished.
MGP in Goa
SS in Maharashtra
SAD in Punjab
@AIADMKOfficial @AIADMKITWINGOFL @CMOTamilNadu @gomantaktimes @ShivSena @Akali_Dal_ @thewire_in @ndtv @TOIIndiaNews",JustaHu62450773,,Twitter Web App,0,3,36,0
2020-11-21 11:58:08,1330118296461512704,False,"Whether you like them or not, But Mota Bhai are 24*7 in politics. 

They have already started working for 2024.

Maharashtra (48) (-ShivSena)
Tamil Nadu (38)",SinghKumarAjeet,"Peterborough, England",Twitter for iPhone,0,4,76,0
