Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 20:57:54,1330254132263989256,False,@Shehzad_Ind @otvnews @JagiPanda @PandaJay BJP needs to invest and put a CM candidate like Ms. A. Sarangi or Mr. P. Sarangi to dislodge corrupt MLAs from the coastal belt. Dharmendra Pradhan is not going to win in Odisha. Odisha needs MSME badly for jobs (2/2),KonarkRebuild,Delhi,Twitter Web App,0,22,39,0
2020-11-21 20:09:38,1330241982699089924,False,"@dpradhanbjp @narendramodi You and Lekhashri are one of the key person "" BJP Sarkar failure in Odisha"" example you didn't give ticket to @ramakantaBJPMLA ..end result u come to know.. Odisha public never accept u.. we all love Modi not u..",sudhanshumunu,Bangalore,Twitter for Android,0,79,523,0
2020-11-21 18:39:31,1330219307989610497,False,"@JagiPanda @sardesairajdeep @vikramchandra @ARanganathan72 @ShekharGupta @soniandtv @sagarikaghose @aroonpurie @pratyasharath @UnSubtleDesi @rahulroushan @TimesNow @g_smita @thewire_in @AartiTikoo @chitraSD BJP is trying to push @CMO_Odisha by CBI, and BJD is trying to do the same with state police.

All political parties are similar.

Still, we can expect a better output from our judicial system.

U do some sting operations &amp; prove ur innocence.",Suchism73283824,,Twitter Web App,1,13,55,0
2020-11-21 18:33:24,1330217767358836738,False,@Asishmo28323397 @tweetsbyparija No denying the stellar work done by Navin. Point is BJP has made inroads in Odisha and has grown in many places unthinkable before 2014,rickyjana,Bengaluru/Kolkata,Twitter for Android,0,449,916,0
2020-11-21 18:26:15,1330215965385224193,False,"@ARanganathan72 @otvnews @JagiPanda The day national media turns its focus on Odisha the corrupt regime will start collapsing rapidly. But who saves them, the opposition who rule in center.

Since 2000 to 2024 one party is ruling uninterrupted in Odisha &amp; in Center
1999-2004: BJP
2004-2014: Congress
2014-2024: BJP",sangramstarts,"Bengaluru, India",Twitter for Android,16,285,605,0
2020-11-21 17:53:23,1330207694645555201,False,"@Elizatweetz Gujarat 8-0, Karnataka 2-0, Telangana, BJP wins seat in a state where INC is supposed to be main opposition, Odisha INC is wiped out. SM fights are of zero consequence. Fact is except some state leaders, we don't know have drive to fight. Gandhis do politics only from Lutyens.",AG18822014,India First! Jai Hind!,Twitter Web App,1,122,213,0
2020-11-21 17:42:44,1330205015563231233,False,"@shalluchandla @sardesairajdeep @KapilSibal @IndiaToday Blindly defending is not helping the party. Introspection is essential. This backseat driving cannot go on. Gujarat 8-0, Karnataka, 2-0, Telangana BJP has entered and going on to become like Odisha. Tell me one wrong thing he's said?",AG18822014,India First! Jai Hind!,Twitter Web App,2,122,213,1
2020-11-21 17:03:31,1330195145434800137,False,"The BJD’s resounding victory drives home the point that when regional parties define the narrative of politics based on local issues of people, the BJP’s polarising politics and narrative stand exposed and are proven to be hollow.  

https://t.co/PDkSK8lBX9 via @thewire_in",ppratishruti,New Delhi,Twitter Web App,11,481,585,0
2020-11-21 16:49:51,1330191708299124737,False,Deciphering BJD's Latest Win in a String of Resounding and Uninterrupted Successes. https://t.co/A1tcrArxUu,Swagatsarangi07,"Balangir, India",Twitter for Android,2,148,601,0
2020-11-21 16:45:17,1330190557923184645,False,@dharmadispatch His death also marked the end of BJD- BJP coalition in the state. The Sangh Parivar did hold a large scale Odisha Band the day after. His story was widely reported in local media. We may still have those reports in our home. Of course the reports in national media has been diff.,MadhuChem,At a right place,Twitter for iPhone,1,254,945,0
2020-11-21 16:34:17,1330187788847812611,True,Deciphering BJD's Latest Win in a String of Resounding and Uninterrupted Successes https://t.co/hWZU0fLfuO via @thewire_in,svaradarajan,"New Delhi, India",Twitter Web App,65,607459,1127,10
2020-11-21 16:33:28,1330187583729639425,True,The opposition Bharatiya Janata Party (#BJP) and #Congress on Saturday mounted an attack on the #Odisha government over the alleged custodial deaths in #Puri and #Sundargarh districts. https://t.co/RMWeEAKksa,ians_india,New Delhi,Twitter Web App,12,58957,45,0
2020-11-21 15:57:22,1330178497898311680,False,@Naveen_Odisha I want to bjp seat please help dear sir dear Naveen ji,gujari_debaraj,,Twitter for iPhone,0,1,9,0
2020-11-21 15:30:49,1330171817881972736,False,"After winning the Bihar election where the RJD-led alliance was tipped to be the favourite, BJP President JP Nadda decided to go on a 100-day nationwide tour to strengthen organizations, strategise 
#Odisha #OdishaNews #OmmcomNews  https://t.co/AqHaOzsq5R",OmmcomNews,"Bhubaneshwar, India",Twitter Web App,0,3499,423,0
2020-11-21 15:30:04,1330171629616369673,False,According to the provision of IPC to rebuke or assault  isn't official duty of a government officer . Two  custodial death of  accused persons at Puri and Biramitrapur very much speak on deteroriting law and order situation in Odisha . BJP protested at Puri . https://t.co/zaRCCiT7hk,JagdevKrushna,"Puri, India",Twitter for Android,1,135,213,1
2020-11-21 14:53:21,1330162389019467777,False,"@ma14186314 In Bengal,Tripura,Telangana,Odisha there were no popular leader in oppn easy for BJP to occupy oppn space thats not d case in TN its a multiparty system with many local parties havin leader.If Admk breaks anti dmk votes ll go to Anbumani,Kamal,Seeman not to BJP which has no face https://t.co/S5T2wWrPb0",VamsiChandran,"Chennai, India",Twitter for iPhone,3,1387,249,0
2020-11-21 14:27:30,1330155882311774209,False,"@veraghavan @ProudHind @muralwrites @mydaymywin @mosquitomani Bjp will get 40+ seats, 6-8% vote, and send 5-6 mlas, then divide admk &amp; consume their votes fully. Then become the only anti dmk force like Telangana Odisha WB .BJP if its having alliance with aiadmk means , some thing behind d scenes happening n some plan is there",Congress300seat,,Twitter for Android,0,337,468,0
2020-11-21 14:17:06,1330153267049996289,False,@sambitswaraj If puri bjp can work as a unit why can’t odisha bjp,baradasarangi,bhubaneswar,Twitter for iPhone,0,100,115,0
2020-11-21 14:08:42,1330151151262715908,False,"#Odisha #Puri death in police remand:Opposition #BJP &amp; #Congress have gone for jugular of #NaveenPatnaik
*#BJD govt took action- transferred SP &amp;suspended IIC
*This case qualifies for judicial enquiry?
*Rule says:if negligence or homicide suspected,then Judicial inquiry essential https://t.co/cTvqYgRKuV",FactlySanjeev,India,Twitter Web App,0,58,40,0
2020-11-21 13:57:16,1330148277447249921,False,"@BUSHINDIA @AmitShah BJP has huge buffer of seats :
 17  in Bihar, 24  in MH, 13  in Odisha, 24  in WB, 13  in TS, 25  in AP, 2  in Assam, 1  in KA  to move from 303 to 340.

They are not going to lose much seats in Hindi Belt.

Modi stature is much bigger and growing",kristanjore,,Twitter Web App,1,863,792,0
2020-11-21 13:48:52,1330146162117140480,False,#Arrest @PandaJay in #LandScam in #Odisha . #BJP is the natural home for scamsters. #DalitLivesMatters #DalitLandMatters I hope that #OdishaPolice take actions now. @CMO_Odisha @Naveen_Odisha https://t.co/JkjV19Akkb,bhabani79,"Glasgow, Scotland",Twitter for iPhone,0,439,240,0
2020-11-21 13:48:29,1330146063790059537,False,"@Ash_Rokzz23 
Bjp will get 40+ seats, 6-8% vote, and send 5-6 mlas, then divide admk &amp; consume their votes fully. Then become the only anti dmk force like Telangana Odisha WB .BJP if its having alliance with aiadmk means , some thing behind d scenes happening n some plan is there",Congress300seat,,Twitter for Android,13,337,468,4
