Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 17:33:51,1330202780590628864,False,"@DaaruBaazMehta Encouraging. Congress maybe clueless ,but they will try hard to bring down AAP like Punjab. @AAPGoa must work harder.",AamIndian_1,,Twitter for Android,2,1520,1133,1
2020-11-21 16:15:20,1330183020658249730,False,"@spiritneeraj @AnmolGaganMan Punjab AAP need to develop more leaders, should create healthy competition among them like delhi.",Gurwinderr1983,,Twitter for Android,0,349,853,0
2020-11-21 16:11:07,1330181958211670017,False,"MUST WATCH

AAP Punjab MP @BhagwantMann Exposes BJP, SAD and Congress in Punjab.

Farmers Bill has exposed the Congress Govt and SAD. They are fooling the Farmers!! https://t.co/fOhCgsXXKj
@JarnailSinghAAP 
@AAPPunjab",AapActive123,"Dilshad Garden, New Delhi",Twitter for Android,0,1888,370,0
2020-11-21 15:59:52,1330179129233334273,False,Met many people on ground today 90% people told me one thing ek moka De ke dekhna chahida aap nu. Fir bhi mere kaafi veere kehde ki aap is not force in Punjab.,Aditya37020727,,Twitter Web App,39,72,15,14
2020-11-21 15:45:41,1330175558022520839,False,"AAP Punjab youth wing president And MLA @meet_hayer ji on corruption, Unemployement and Drugs @JarnailSinghAAP https://t.co/DTzeL1rT7z",Gurdeepgurus,,Twitter for Android,42,1052,480,20
2020-11-21 15:28:45,1330171296882290689,False,"MUST WATCH

AAP Punjab MP @BhagwantMann Exposes BJP, SAD and Congress in Punjab.

Farmers Bill has exposed the Congress Govt and SAD. They are fooling the Farmers!! https://t.co/V5Bf1eXLiM",DaaruBaazMehta,India,Twitter Web App,153,76625,460,61
2020-11-21 15:20:30,1330169222916415488,False,"Watch latest dabate of AAP Punjab Youth President and MLA @meet_hayer V/S Punjab Youth Cong. President Barinder Dhillon V/S Harinderpal ChanduMajra (SAD)
👇👇👇👇

https://t.co/sjBZVjm0pg",mishrarocky,भारत,Twitter for Android,1,5378,3469,1
2020-11-21 15:19:59,1330169092595195906,False,"@Arun2981 No sir, last time I was there in Punjab. Vote shifting with very different manner. Akali and BJP was not in position to win. So that Hindu community voted to congress to eliminate AAP from Punjab. It was last time planning. I think @AdityaMenon22can explain better way.",Aadil_Muz,Mohali,Twitter for iPhone,0,171,514,0
2020-11-21 15:12:38,1330167242873516042,False,"AAP expands its structural base in Punjab; 460 block presidents appointed in 22 districts#Pb @Newindianxpress, @SundayStandard, @TheMornStandard",Harpreet_TNIE,"Chandigarh, India",Twitter Web App,0,1644,63,0
2020-11-21 14:17:18,1330153315292876810,False,"@Arun2981 I don't think so,  AAP will not have much difference with Hindu or any majority in Punjab. People of Punjab also want change. AAP will get that vote but only on the basis of work.",ShwetaIndia1,Delhi NCR,Twitter for Android,6,1863,714,0
2020-11-21 14:07:30,1330150851676082181,False,"Interesting point by a Journalist friend from Punjab to me : 

The more BJP will get vote share, more it will help AAP in Punjab. 

Congress gets majority of Hindu votes in Punjab. BJP May dent it and will eventually help AAP

Hmmmmm ! 😷",Arun2981,,Twitter for iPhone,186,17199,937,26
2020-11-21 14:00:37,1330149119428538371,False,@rohini_sgh And yet AAP govt blame only the Punjab and Haryana farmers.,kunalkg,"Delhi, India",Twitter for iPhone,0,43,155,0
2020-11-21 13:53:16,1330147267781799939,False,"AAP expands its structural base in Punjab; Appoints 460 block presidents in 22 districts #PunjabiNews @tvpunjab  #tvpunjab
... https://t.co/lBFGowgcMD",tvpunjab,global,tvpunjab,0,332,145,0
2020-11-21 13:31:01,1330141670265004033,False,"The way she smiled &amp; said abhi punjab gye thy dekha nhi aap ny 
They know that the whole world knows ❤️
#ShonaShonaAtFirstGlance https://t.co/vUEBbaTb9T",HayaFatima1111,Pakistan,Twitter for iPhone,0,60,39,1
2020-11-21 13:15:31,1330137767867768832,False,"#AAP expands its structural base in #Punjab; 460 block presidents appointed in 22 districts

https://t.co/HfN1qiC9Bz",yespunjab,Punjab,Hootsuite Inc.,0,112774,150524,0
2020-11-21 12:46:01,1330130345279283200,False,AAP expands its structural base in #Punjab; 460 block presidents appointed in 22 districts #Politics #TodayNews #TopNews -https://t.co/0aLkoEqfry https://t.co/fITHtTGa0U,Punjabupdate,Chandigarh,PB Update,0,2687,75,0
2020-11-21 12:07:06,1330120550463758336,False,AAP and it's friends have put the blame of pollution firmly and squarely on Punjab and Haryana even U.P. while it has wasted about 1000 Crores on Advertisements alone ! doing precisely nothing else ! https://t.co/ra7LbjzZAA,ArnabCh25428087,,Twitter Web App,0,198,1113,0
