Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 21:45:18,1330266061900574722,False,"@ChitleenKSethi Good news. Thank you farmers. And please don’t fall gor politics, these farm laws are good for you. Punjab is congress’s last bastion, they’ll do everything to instigate you although Dr. Singh was the first to move towards bringing these legislations.",MannkibaatRajiv,,Twitter for iPhone,1,511,792,0
2020-11-21 21:06:39,1330256333132754949,False,"#India paying price for opposition hopeless #politics against #Modi reforms for welfare of farmers. 

#Punjab being fooled by #Congress yet again!! https://t.co/Ju1300gf8U",kalpak007,,Twitter Web App,2,408,268,0
2020-11-21 20:14:20,1330243167736782850,False,"If the present morbidity on Congress continues, V r going to perish at the altars of the BJP n ambanis, adanis.
Its a done thing that v need hard working leaders like in Punjab, Chattisgarh, Rajasthan.
Or else v will end up loosing present day leaders who r strong n can face BJP.",INDIAisGR8at70,"Pune, India",Twitter for Android,0,1820,2451,0
2020-11-21 20:13:46,1330243024220262401,False,"@Mohit_ksr @moronhumor How about Thoko Taali khopdi Khali ?

1)He laughs like a retard at non existence jokes
2)He jumped winning BJP to join pappu congress 
3)despite being a sardar he shamelessly touches Sonia’s feet 
4)He is from udta Punjab 
5)who in sober mind can hug enemy paki army Gen Bajwa ?🤔 https://t.co/FNNzbmu1c8",MitPatel1977,"Atlanta, GA",Twitter Web App,3,204,157,0
2020-11-21 19:55:57,1330238539238416385,False,"@sardesairajdeep @KapilSibal @IndiaToday I agree with you. Congress is a very tiny party in front of BJP now. BJP’s fight shall only be with regional parties and congress shall fight as a regional party in Punjab, Rajasthan, MP, Chhattisgarh, Haryana, HP, Uttarakhand and Karnataka. Great going for BJP.",vertigobp,India,Twitter for iPhone,1,26,503,0
2020-11-21 19:27:13,1330231310997196802,False,That's why Punjab congress government saving him from yogi government arrest 🤔😶😑 https://t.co/Rg5V5B0YKF,Amit_knc,"New Delhi, India",Twitter for Android,0,1020,197,0
2020-11-21 17:33:51,1330202780590628864,False,"@DaaruBaazMehta Encouraging. Congress maybe clueless ,but they will try hard to bring down AAP like Punjab. @AAPGoa must work harder.",AamIndian_1,,Twitter for Android,2,1519,1133,1
2020-11-21 17:13:54,1330197760444944384,False,@capt_amarinder This all things are the part of politics. Congress are playing the game with center.once the freight trains reaches punjab..with coal for thermal plant..nd necessary item ..then they will again start their protest againt the centre govt.,Aakarsh55787542,,Twitter for Android,1,2,49,0
2020-11-21 17:13:00,1330197535475044364,False,"#Congress vs #BJP after 2010
After 2012
Goa Election 
BJP - 28(Total Seats) - 21(Won)
Congress - 34(Total Seats) - 9(Won)

Manipur Election
Congress - 62(Total Seats) - 42(Won)

Punjab Election
BJP - 23(Total Seats) - 12(Won)
Congress - 117(Total Seats) - 46(Won)",Harishc94614675,,Twitter Web App,0,1,63,0
2020-11-21 16:54:20,1330192834440421381,False,@ShivkiP @capt_amarinder You won't see any ''Unbiased'' Urduwood Director now making movies like ''Udta Punjab'' as since Congress won its now ''Secular Punjab'' where drugs/gang war and conversion of Sikhs &amp; Hindus is allowed openly and in fact encouraged as its called SECULARISM. Captain g is helpless.,SandeepPrashar_,,Twitter Web App,2,21,129,0
2020-11-21 16:11:07,1330181958211670017,False,"MUST WATCH

AAP Punjab MP @BhagwantMann Exposes BJP, SAD and Congress in Punjab.

Farmers Bill has exposed the Congress Govt and SAD. They are fooling the Farmers!! https://t.co/fOhCgsXXKj
@JarnailSinghAAP 
@AAPPunjab",AapActive123,"Dilshad Garden, New Delhi",Twitter for Android,0,1887,370,0
2020-11-21 15:58:59,1330178907765698566,False,@Harpreet_TNIE @NewIndianXpress @Sundaystandard @TheMornStandard Needless agitation by farmers incited by Congress govt is backfiring as ppl of Punjab r suffering. Hopefully wisdom will prevail among farmers.,smishra169,,Twitter for Android,0,98,253,0
2020-11-21 15:28:45,1330171296882290689,False,"MUST WATCH

AAP Punjab MP @BhagwantMann Exposes BJP, SAD and Congress in Punjab.

Farmers Bill has exposed the Congress Govt and SAD. They are fooling the Farmers!! https://t.co/V5Bf1eXLiM",DaaruBaazMehta,India,Twitter Web App,153,76627,460,61
2020-11-21 15:19:59,1330169092595195906,False,"@Arun2981 No sir, last time I was there in Punjab. Vote shifting with very different manner. Akali and BJP was not in position to win. So that Hindu community voted to congress to eliminate AAP from Punjab. It was last time planning. I think @AdityaMenon22can explain better way.",Aadil_Muz,Mohali,Twitter for iPhone,0,171,514,0
2020-11-21 15:15:41,1330168010355712002,False,"@SmokingSkills_ Sidhu is so suspicious 

1) he laughs like a retard at non existence jokes
2)he jumped the winning BJP ship n join pappu congress 
3)despite being a sardar he shamelessly touches Sonia’s feet 
4)he is from udta Punjab 
5)who in sober mind can hug enemy  paki army gen Bajwa ? 🤔",MitPatel1977,"Atlanta, GA",Twitter for iPhone,2,204,157,0
2020-11-21 14:07:30,1330150851676082181,False,"Interesting point by a Journalist friend from Punjab to me : 

The more BJP will get vote share, more it will help AAP in Punjab. 

Congress gets majority of Hindu votes in Punjab. BJP May dent it and will eventually help AAP

Hmmmmm ! 😷",Arun2981,,Twitter for iPhone,186,17200,937,26
2020-11-21 14:07:08,1330150757706948610,False,@boxervijender Why Farmers in Punjab are committing Suicide? Why don’t Congress help them? Congress is ruling the state. Na. 😡😡 https://t.co/RlKnPgKHAr,RushmaR,Dreams,Twitter for iPhone,1,1328,494,0
2020-11-21 14:03:20,1330149801112051713,False,"@boxervijender Karz diya Congress ne. Bhagaya Congress ne per blame Modi pe.60 saal Congress ne raaj kiya tub to kisan Audi mein ghoomte the, Europe trip lagate the. In short luxurious life jeete the. Sub to Modi ne cheen liya. Punjab mein to Congress hai waha kyu Suicide kar rahe hai kisan. 😡",RushmaR,Dreams,Twitter for iPhone,3,1328,494,0
2020-11-21 13:47:48,1330145893601914880,False,"@vjsudesh @PriaINC Sour grapes, so wholesale buying of bots and help from a neighbouring country failed? Where were you when EC opened up EVMs to hack it and show the world? Congress ran away. And yeah Evm worked perfectly in punjab, Rajasthan, Jharkhand, Chattisgarh and wayanad.. Right? 😄",shutterbugsandy,Bangalore,Twitter for Android,0,181,897,0
2020-11-21 13:45:22,1330145282756136963,False,"@bainjal @RahulGandhi @PMOIndia 3) Everyone can already see what is a state of congress in every single state right now. If we leave Punjab and Rajasthan then they are not even a major party in even a single state and even in the state they have government, it's possible only with alliance.",Akash28081997,Bharat,Twitter for Android,2,16,165,0
2020-11-21 13:44:16,1330145004677984258,False,"Respected PM
33 percent reservation for women have given by Punjab Govt. Centre Govt will pass the ordinance at the earliest for participating women in politics for strength of women. In this regard, Rahulji alredy stated to all congress governed states. Regards. https://t.co/3uRPObeAM6",Saroj302,Delhi ...from Rajasthan,Twitter Web App,6,166,67,1
2020-11-21 13:36:32,1330143056889327620,False,"@Gss_Views Congress feels it is people's default option for anti bjp votes in states like punjab, haryana, rajasthan,MP, Gujarat etc. Till this does not change, congress will not change.",Hope58975223,,Twitter Web App,3,226,298,0
2020-11-21 13:36:17,1330142994457124864,False,@ShekharGupta It was sponsored by Punjab Congress Govt not by Farmers. Result loss of state and genuine people,SUNILGUPTA_0,India,Twitter for iPhone,1,175,544,0
2020-11-21 13:31:05,1330141684991221762,False,NSUI National President Shri @Neerajkundan attended Students Convention in Pathankot organised by NSUI Punjab to address the issues concerning the students during the pandemic This fight for the rights of students &amp; youth will continue till the Modi govt starts focusing on youth. https://t.co/w3Ywb6RaKu,shiva_congress,"Hyderabad, India",Twitter for Android,83,2719,2453,55
2020-11-21 13:30:05,1330141433609801739,False,"@RameshwarDudi Respected CM
33 percent reservation for women have given by Punjab Govt. Raj Govt will pass the ordinance at the earliest for participating women in politics for strength of women. In this regard, Rahulji alredy stated to all congress governed states. Thanks ji.",Saroj302,Delhi ...from Rajasthan,Twitter Web App,1,166,67,0
2020-11-21 13:24:33,1330140042988298242,False,"While Kejriwal and hisnparty keeps blaming @INCIndia, Punjab CM Captain Amarindar Singh offers helping hand to Kejriwal govt.

Congress doesn't believe in politicising the issues. it is concerned with the problems of people and willing to help the citizens. https://t.co/W1G73w2sOl",madhavmantri,"Indore, India",Twitter for Android,2,2615,736,1
2020-11-21 13:08:39,1330136039462154247,False,Delhi is suffering from pollution because of Congress government in Punjab and BJP government in Uttar Pradesh and Haryana...How incompetent Congress government in Punjab doesn't find any solution of Stubble burning of Crops after more than 5 years... pathetic. https://t.co/8FvsWILTnl,NegiDilbeer,"New Delhi, India",Twitter for Android,0,88,92,0
2020-11-21 13:03:17,1330134690158829574,False,"Punjab Congress workers accept CM Amarinder’s request, announce total lifting of rail blockade from Monday https://t.co/NL4RkE537i",Bharat_Putra,,Twitter for iPhone,4,8371,1564,2
2020-11-21 12:48:26,1330130951343656967,False,"@Suhelseth @AmitShah I agree with you. Congress is a very tiny party in front of BJP now. BJP’s fight shall only be with regional parties and congress shall fight as a regional party in Punjab, Rajasthan, MP, Chhattisgarh, Haryana, HP, Uttarakhand and Karnataka. Great going for BJP.",vertigobp,India,Twitter for iPhone,0,26,503,0
2020-11-21 12:46:24,1330130443421749350,False,@INCIndia If I am not wrong Punjab is under Congress ya. It is highly polluted too 🤷🏻‍♀️,24savannah_,India,Twitter for iPhone,1,154,312,0
2020-11-21 12:31:49,1330126772097179648,False,@ShekharGupta This agitation was sponsored by Congress only. Congress made fool out of Punjab farmers,vgarg01,,Twitter for Android,1,402,320,0
