Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 22:01:30,1330270135404343296,False,"BJP ‘Non-entity’ in Punjab, Says CM Amarinder Singh https://t.co/Kw0Kh5uU6z",Userskynews18,Mumbai,WordPress.com,0,12,50,0
2020-11-21 21:29:19,1330262037608476673,False,"@BJP4India is only a heavy duty &amp; hard working #election machine

They didnt have vision they didnt have any #Governance model &amp; they didnt have any state level faces who can help #BJP to win election
Earlier #bihar now #WB &amp; #TN then #Punjab
 #AmitShah is psudo bjp president",IamRishabh_tw,"New Delhi, India",Twitter for Android,0,48,173,0
2020-11-21 20:47:44,1330251572526387210,False,Divorce with ally was a smart move https://t.co/qd4KP8z8mA,naashonomics,San Jose,Twitter for iPhone,0,3729,4976,0
2020-11-21 20:14:20,1330243167736782850,False,"If the present morbidity on Congress continues, V r going to perish at the altars of the BJP n ambanis, adanis.
Its a done thing that v need hard working leaders like in Punjab, Chattisgarh, Rajasthan.
Or else v will end up loosing present day leaders who r strong n can face BJP.",INDIAisGR8at70,"Pune, India",Twitter for Android,0,1820,2451,0
2020-11-21 20:13:46,1330243024220262401,False,"@Mohit_ksr @moronhumor How about Thoko Taali khopdi Khali ?

1)He laughs like a retard at non existence jokes
2)He jumped winning BJP to join pappu congress 
3)despite being a sardar he shamelessly touches Sonia’s feet 
4)He is from udta Punjab 
5)who in sober mind can hug enemy paki army Gen Bajwa ?🤔 https://t.co/FNNzbmu1c8",MitPatel1977,"Atlanta, GA",Twitter Web App,3,204,157,0
2020-11-21 20:01:02,1330239821915299851,False,"@sardesairajdeep @KapilSibal @IndiaToday He gave Some very stupid answers 😒😒... one was to compare Macron with modi, trump, Erdogan, bolsonaro ..other was to suggest modi bjp is winning  just  because  of media, money power ..then how did kejriwal win, and cong win state elections like Punjab,  chattisgarh,  mp etc.",Vijay34077342,,Twitter for Android,0,7,329,0
2020-11-21 19:55:57,1330238539238416385,False,"@sardesairajdeep @KapilSibal @IndiaToday I agree with you. Congress is a very tiny party in front of BJP now. BJP’s fight shall only be with regional parties and congress shall fight as a regional party in Punjab, Rajasthan, MP, Chhattisgarh, Haryana, HP, Uttarakhand and Karnataka. Great going for BJP.",vertigobp,India,Twitter for iPhone,1,26,503,0
2020-11-21 19:47:47,1330236484272746505,False,"A lane in #NewYork has been named 'Punjab' because a local Gurudwara fed over 10,000 people daily during Covid times. What an honour! 
And in India Lovepreet has been booked under UAPA for serving Langar to the anti-CAA protesters at Shaheen Bagh, under BJP regime. Vid @bsn9049 https://t.co/L0rVcMqOw1",BawaNaaved,India,Twitter for Android,0,55,155,0
2020-11-21 18:41:26,1330219790405918721,False,"The latest Oppn leader 2 fall victim 2 d BJP's vendetta politics is SAD leader fr Punjab,Bikram Singh Majithia,whose Z+ Security cover has been withdrawn within 2 months of the Party quitting the NDA &amp; voting agnst d Gov on d controversial Farm Bills.... https://t.co/Bs7dFWhMPN",StayingReal0511,"Bengaluru, India",Twitter for Android,64,4378,1529,38
2020-11-21 18:25:44,1330215836511047685,False,BJP to organise training camp for grassroot leaders in Punjab https://t.co/T8l9ospKtU,dev_discourse,National Capital Region,Devdiscourse News Desk,3,84641,690,0
2020-11-21 17:40:02,1330204336866136065,True,"Shiromani Akali Dal, an old ally of the BJP, had quit the NDA over the Centre’s farm laws. 

https://t.co/M65j7zryzM",DeccanHerald,India,Hootsuite Inc.,8,62592,342,1
2020-11-21 17:13:00,1330197535475044364,False,"#Congress vs #BJP after 2010
After 2012
Goa Election 
BJP - 28(Total Seats) - 21(Won)
Congress - 34(Total Seats) - 9(Won)

Manipur Election
Congress - 62(Total Seats) - 42(Won)

Punjab Election
BJP - 23(Total Seats) - 12(Won)
Congress - 117(Total Seats) - 46(Won)",Harishc94614675,,Twitter Web App,0,1,63,0
2020-11-21 17:10:11,1330196826226634754,False,"@AmitShah @narendramodi AIDMK  has entered into a suicide alliance with BJP. It will lose its identity like Akali dal in Punjab, JD(U) in Bihar, Telugu desam in Andhra, PDP in J &amp; K",jppanda2003,bhubaneswar,Twitter Web App,0,155,95,0
2020-11-21 17:01:07,1330194541878632455,False,Why r CM's of bjp administered certain states commenting in J&amp;K issues???? Have u heard WB/Kerala/Mah/Jharkhand/Punjab CM's issuing any statements!!! Cos they know about their responsibilities to run their states.Haryana/UP/Assam/Bihar/MP/Karnataka is left to govern by itself!!!!,Pradeep40697191,,Twitter for Android,0,4,24,0
2020-11-21 16:44:17,1330190306344636423,False,"BJP ‘Non-entity’ in Punjab, Says CM Amarinder Singh – NEWPAPER24 https://t.co/afLfRZaYfq",newpaper24,"München, Bayern",WordPress.com,0,126,146,0
2020-11-21 16:32:08,1330187248982175748,False,"Punjab's two futures, farmers and youth BJP is waiting to end both - Anmol Gagan Mann
She was talking about current sandicate issue of Panjab University
@JarnailSinghAAP https://t.co/fi4nl8cKYP",Gurdeepgurus,,Twitter for Android,61,1052,480,28
2020-11-21 16:17:47,1330183636046503937,False,"@aajtak @divyeshas @mustafashk They will target @KapilSharmaK9  show (SK films) @BeingSalmanKhan . 

That is a Diwali gift for #ArnabGowswami from papa di great. 

#BhartiSingh may fight elections for BJP in Punjab 

TRP , free ka Prasad hai is mamale mein",immune_soul,BomBay,Twitter for iPhone,2,549,2298,0
2020-11-21 16:11:07,1330181958211670017,False,"MUST WATCH

AAP Punjab MP @BhagwantMann Exposes BJP, SAD and Congress in Punjab.

Farmers Bill has exposed the Congress Govt and SAD. They are fooling the Farmers!! https://t.co/fOhCgsXXKj
@JarnailSinghAAP 
@AAPPunjab",AapActive123,"Dilshad Garden, New Delhi",Twitter for Android,0,1887,370,0
2020-11-21 16:03:31,1330180046607306761,False,"Among the major states BJP ve &lt;20% votes in nly 4 states Punjab,Kerala,AP,TN. In Punjab &amp; Kerala BJP ve around 10% votes with Cong being no1 party they can grow in anti congressism,in AP which is leader based they can grow using Pawan Kalyan take over TDP votes post Naidu 1/2",VamsiChandran,"Chennai, India",Twitter for iPhone,21,1385,249,2
2020-11-21 16:02:06,1330179692041744386,False,"@chikchirp @ksmsundaram1975 Rajasthan - alternative Govt change

Punjab - 10 year anti-incumbancy

Kerala - BJP won a MLA for the first time 

Andhra - BJP is never strong",SaveHindus4,Bharath,Twitter Web App,2,3120,956,0
2020-11-21 15:56:22,1330178247016001538,True,"#NewsAlert - BJP 'non-entity' in #Punjab, PTI reports quoting Punjab CM @capt_amarinder https://t.co/6WV0TJthzm",editorji,"Sultanpur, New Delhi",Twitter Web App,4,31928,104,1
2020-11-21 15:31:53,1330172085705056260,False,"#Siddhu - A traitor,who was involved in cricket fixing with azharuddin
He also have murder charges on him

He wanted to become BJP CM of punjab, but BJP always wanted to go with akali

Siddhu desperate to come back to BJP for next election

Anybody can comment more on siddhu here",itssumitjain,bharat,Twitter Web App,1,103522,56504,0
2020-11-21 15:31:10,1330171907237351432,False,"Puthiya Talaimurai listed places where BJP didnt do well like Rajasthan , Punjab kerala Andhra etc these are failures of AmitShah now he is trying TN ...will he succeed or go the failure way!",chikchirp,Chennai,Twitter for Android,1,3813,975,1
2020-11-21 15:28:45,1330171296882290689,False,"MUST WATCH

AAP Punjab MP @BhagwantMann Exposes BJP, SAD and Congress in Punjab.

Farmers Bill has exposed the Congress Govt and SAD. They are fooling the Farmers!! https://t.co/V5Bf1eXLiM",DaaruBaazMehta,India,Twitter Web App,153,76627,460,61
2020-11-21 15:19:59,1330169092595195906,False,"@Arun2981 No sir, last time I was there in Punjab. Vote shifting with very different manner. Akali and BJP was not in position to win. So that Hindu community voted to congress to eliminate AAP from Punjab. It was last time planning. I think @AdityaMenon22can explain better way.",Aadil_Muz,Mohali,Twitter for iPhone,0,171,514,0
2020-11-21 15:19:50,1330169055869808642,False,"@mpk_prabha @Mark2Kali_ @M2K2020 @isai_ @TrendsDmk @kaajalActress Thank god for TN, Punjab, Kerala and finally the Maha-Rashtra! But for you sensible states, 'Ajmal' Amit Shah would have spread his 'Tughlaqi' agenda across India &amp; implemented dictatorial 'Mughal' rule again! #TNRejectsBJP #KeepBJPOutofTN #TNRejectsHindiImposition #BJP",thenriforum,United States,Twitter Web App,0,85,547,0
