Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 23:53:27,1330298310930944003,False,"The making of the BSP Wyandotte st Christmas 🎄 
Stay tuned for team up with local organizations!!!❤🍕❤

#helpeachother 
#operationbreakthrough 
#upliftorganization 
#veterancommunityproject
#spreadlove https://t.co/m5hjumuUbY",BuffalostateXR,"1815 Wyandotte st Kansas City,",Instagram,0,33,47,0
2020-11-21 23:36:33,1330294057571115011,False,"@antraqen @SaketGokhale @PriyankKharge If you see the recent Up elections , clearly the divide between sp and bsp has given them the winning edge .",LAtmanirbhar,,Twitter for iPhone,0,1,20,0
2020-11-21 23:11:22,1330287717909934082,False,"@bsp_13 Josh McDaniels : we’re on our own 42, It’s 3rd and 9 let’s get Sony the ball for a dive up the middle and get better field position for the upcoming punt  
Me: https://t.co/lMmuBuDY7y",SouthCoastJR,"Massachusetts, USA",Twitter for iPhone,1,14,252,0
2020-11-21 22:05:03,1330271031018352642,False,"@bsp_13 I do wonder how he was supposedly so good leading up to the season, and now nothing.",Soxfan893,,Twitter for Android,0,67,523,0
2020-11-21 19:45:52,1330236003739709441,False,@bsp_13 A sign and trade doesn’t add up. He became a free agent when he declined his $34m player option earlier in the week. He’s gone with nothing in return unless I’m missing something.,CoachMetzHoops,,Twitter Web App,0,30,151,0
2020-11-21 19:33:57,1330233004866801667,False,@Barney_BSP Geno can’t pass one either. He’s having shoulder surgery in the offseason which is why he only plays 10 snaps a game. They’ll get a better comp pick for both Ross and green letting them walk than trading them. No ones giving a lot up for AJ who has the worst avg separation in NFL,BransonUS,,Twitter for iPhone,0,504,295,0
2020-11-21 19:08:30,1330226598944141312,False,@bsp_13 It has to be 😂 they don’t have the cap to straight up sign him.,B_radd_96,Unknown,Twitter for iPhone,0,229,342,0
2020-11-21 18:58:59,1330224206504726529,False,"@Sootradhar jst imagine bjp sp bsp cong all fighting alone. amd bjp getting more than 375 in 2022 elections!!
Btw, Ram Mandir might be ready to visit or yogi ji bhagwan ram lalla ki murti to mandir me sthapana kar hi denge nd that'll create BIG BHAGWA WAVE in UP!
Lets hope this becomes true!",Arpan_7799,Bharat,Twitter for Android,0,26,108,0
2020-11-21 18:54:11,1330222998566150148,False,"@bsp_13 Wow. Signing with the Hornets. 4 years 120MM!!!
I think Ainge screwed this up badly.",JMac_PayitFwd,"Framingham, MA",Twitter for iPhone,0,829,4403,0
2020-11-21 16:48:14,1330191302311469056,False,@bsp_13 The end of next week would be when I pick my daughter up at the airport. She usually spends Dec. &amp; Jan. with me. Because of Rona I won't see her until Next Dec. Means I will not have seen my daughter for almost 2 years. My first Xmas without her since she was 5. She is 16 now.,RaineriJason,"Massachusetts, USA",Twitter for Android,3,143,313,0
