Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 23:52:01,1330297950619185154,False,@haithamahmedmd Stretchy pants sales up @lululemon ?,SP_Pind,"Ontario, Canada",Twitter for iPhone,0,504,589,0
2020-11-21 23:49:29,1330297312900427777,True,"Orlando City celebrates unlikely hero Rodrigo Schlegel's emergency goalkeeper success by putting his keeper kit up for sale:

https://t.co/H9bJC6LK5U",osiliana,"Orlando, Florida",Twitter Web App,4,3853,3317,0
2020-11-21 23:44:31,1330296059772407816,False,"#NorthGaHSShowcase 

St. Pius is up 33-27 against Duluth going into halftime. #11 Brooks Kahlert leads SP with 10 points heading into the 3rd. @BrookesKahlert",northgareport,"Georgia, USA",Twitter for iPhone,0,2153,2606,0
2020-11-21 23:43:02,1330295689511886857,False,@WingsScotParty @scotmacscotbot Joanna Cherry is perfect but you require a whole negation team and the inner sanctum of the woke central wouldn't permit Joanna in there just the same as they put barriers up against her to stand in the SP,ga11acher,,Twitter Web App,11,3841,3155,2
2020-11-21 23:38:39,1330294587135504388,False,@SP_Marc16 😭😭😭 just agree and shut up,Cheaper2beepher,Uptown Girl,Twitter for iPad,0,561,611,0
2020-11-21 23:37:46,1330294364170555397,False,"@realDonaldTrump No one is 'listening' except your base, and that, apparently is just not good enough - somewhere around 6 mill short, I believe.

But you, one-term-Donny, need to keep up the charade to squeeze every last dime out of them, right? No proof, no cigar.

Still... cultists gonna cult.",SP_Mount,,Twitter Web App,0,76,52,0
2020-11-21 23:36:33,1330294057571115011,False,"@antraqen @SaketGokhale @PriyankKharge If you see the recent Up elections , clearly the divide between sp and bsp has given them the winning edge .",LAtmanirbhar,,Twitter for iPhone,0,1,20,0
2020-11-21 23:34:26,1330293522726055936,False,"If you say “jesus christ” and you’re a Muslim, pattern up",9_SP_6,,Twitter for iPhone,3,411,297,0
2020-11-21 23:32:45,1330293101408219138,False,@hitagireal Dude was digging up old tweets about zero lmao. Def bait,sp_ahimsa,Indonesia,Twitter for Android,1,1487,3039,0
2020-11-21 23:06:05,1330286390312054784,False,#Mudbug fans don’t forgt  tonight Gm 2 vs @NMIceWolves after what ws all bgs  last night can we pick up the Sp find out tonight Pre Gm / Chat 7:15p w @MattNelson02 an @Chet_Yoder pk Drps 7:30p on @MyHockeyTV an Mudbugs @YouTube ch it’s @mudbugshockey Wknd #ClawBackWithUs #ClawsUp,MattNelson02,Shreveport / Dallas / NYC ,Twitter for iPhone,5,1844,4793,0
