Date,Tweet_id,Verified,Tweet,User,Location,Source,Likes,Followers,Following,Retweets
2020-11-21 23:59:42,1330299881219649536,False,"Do nothing senate? Seriously? @SpeakerPelosi please explain to ole’ @SenSanders that it’s the Congress holding things up. 

Bernie Sanders renews call for stimulus payments, slams ‘do-nothing Senate’ https://t.co/KVtgj6Zk6J #FoxNews",LisaLafern,,Twitter for iPhone,0,13,166,0
2020-11-21 23:56:39,1330299116241506307,False,Returning to the #JCPOA means a return to the pre-Trump nuclear and sanctions status quo. But Congress won't support lifting sanctions to go back to the old deal. They'll demand more. Coons is reflecting that. The other SecState candidates will end up in the same place. https://t.co/m1L3NJFLkb,TelStratLLC,California State of Mind      ,Twitter Web App,0,21,322,0
2020-11-21 23:56:26,1330299060943802377,False,"A child on a double murder charge? For congress?Really can't see this tweet ageing well at all, but then again #POTUS45 has notched up 250k preventable deaths, at least this idiot is consistent https://t.co/rox7PEncb3",raytrevisan,Sydney,Twitter for Android,0,66,179,0
2020-11-21 23:55:00,1330298699881254914,False,@SimonTemplarPV The one guy who’s been kicking their ass and his alleged teammates in congress are standing around with their fingers stuck up their noses,garysteveneaton,SoCal,Twitter for iPhone,1,3420,1456,0
2020-11-21 23:54:55,1330298677878001664,False,"@CBS_Herridge @SFF_K2 CONGRESS WOULD NOT ALLOW GOVERNOR CUOMO OF NEW YORK TO TOUCH EMERGENCY FUNDS UNTIL HE EXPLAINED WHERE HE SPENT 2.8 BILLION DOLLARS OF FEDERAL HEALTHCARE DOLLARS. HE COULD NOT COME UP WITH AN ANSWER. HERE IT IS
https://t.co/HAPazwJrIw
https://t.co/NkF22WFafO",DrKevinJMaloney,Mamaroneck New York,Twitter Web App,1,29,275,1
2020-11-21 23:53:05,1330298219121811459,False,"@PerlmanGerry This is getting serious and out of control. People are sick, dying, out of work and starving. Congress needs to move it and tell Trump to ""Shape Up"" or ""Ship Out!"" Get rid of Pence too. Let @SpeakerPelosi take over as President until Joe Biden takes the post in Jan. 2020.",ann_lingard,,Twitter Web App,0,299,374,0
2020-11-21 23:50:02,1330297452025491460,False,"@MikeKellyPA This is insane &amp; disgusting! These traitors will do anything to keep that corrupt, criminal Russian puppet in power! Get rid of these Russian assets in a Congress! LOCK THEM ALL UP! @MikeKellyPA is corrupt!! https://t.co/dSpbZ5bBNk",WSpersists,"Tennessee, USA",Twitter for iPhone,0,274,342,0
2020-11-21 23:49:41,1330297360321294336,False,@CoriBush @AOC Why should the Senate stay when Congress hasn't put up a bill. Maby the Speaker is buying ice cream or getting her hair done,LarryCh75128521,,Twitter Web App,0,1,22,0
2020-11-21 23:49:10,1330297233959477251,False,Congress woman has showed up to shut down Christmas and they all went “oh no what do we do” and HEY GUYS ALL YOU HAVE TO DO IS CALL FOX NEWS.,infidusfiles,,Twitter for iPhone,4,192,1592,0
2020-11-21 23:48:44,1330297124282638340,False,"This is what we will have to do to get our Congress to act. Please couch Dems, wake up and stop licking boot. We are being exterminated by the government we pay for. BOTH parties deserve the Guillotine. #EatTheRich #Guillotine2020 https://t.co/3hd3pNIkso",johnetec,"California, USA",Twitter Web App,11,3186,4995,3
